date,hauteur_nappe,riviere,deltaH,tension 
NA,6.1,6.7,-0.6,1.349
NA,9.8,6.7,3.1,1.042
NA,11.8,6.7,5.1,0.873
NA,13.4,6.7,6.7,0.742
NA,17.1,6.7,10.4,0.634
NA,18.5,6.7,11.8,0.634
NA,18.5,8.3,10.2,0.634
NA,18.5,11.6,6.9,0.735
NA,18.5,12.8,5.7,0.843
NA,18.5,16.5,2,1.166
NA,18.5,18.9,-0.4,1.392
NA,18.5,20.6,-2.1,1.543
NA,18.5,22.4,-3.9,1.698
NA,18.5,23.6,-5.1,1.797
NA,18.5,24.4,-5.9,1.88
NA,18.5,27.1,-8.6,2.111
NA,18.5,29.8,-11.3,2.325
NA,18.5,31.6,-13.1,2.499
NA,18.5,33,-14.5,2.499
NA,18.5,36.7,-18.2,2.499
