n,date,tension,temperature
1,02/17/16 10:30:00 AM,1.23281,5.499
2,02/17/16 10:45:00 AM,1.23198,6.043
3,02/17/16 11:00:00 AM,1.25402,6.606
4,02/17/16 11:15:00 AM,1.25109,6.360
5,02/17/16 11:30:00 AM,1.25391,5.839
6,02/17/16 11:45:00 AM,1.26596,6.032
7,02/17/16 12:00:00 PM,1.28679,6.003
8,02/17/16 12:15:00 PM,1.30934,6.209
9,02/17/16 12:30:00 PM,1.32300,6.287
10,02/17/16 12:45:00 PM,1.33925,7.365
11,02/17/16 01:00:00 PM,1.34886,7.632
12,02/17/16 01:15:00 PM,1.35691,9.022
13,02/17/16 01:30:00 PM,1.28416,8.851
14,02/17/16 01:45:00 PM,1.28912,9.449
15,02/17/16 02:00:00 PM,1.29030,9.728
16,02/17/16 02:15:00 PM,1.29038,10.443
17,02/17/16 02:30:00 PM,1.29461,9.242
18,02/17/16 02:45:00 PM,1.29534,9.019
19,02/17/16 03:00:00 PM,1.29446,8.174
20,02/17/16 03:15:00 PM,1.29068,6.841
21,02/17/16 03:30:00 PM,1.28714,6.927
22,02/17/16 03:45:00 PM,1.28454,7.107
23,02/17/16 04:00:00 PM,1.28042,7.910
24,02/17/16 04:15:00 PM,1.27600,7.184
25,02/17/16 04:30:00 PM,1.26249,6.271
26,02/17/16 04:45:00 PM,1.25868,5.797
27,02/17/16 05:00:00 PM,1.25051,5.166
28,02/17/16 05:15:00 PM,1.26570,14.405
29,02/17/16 05:30:00 PM,1.29099,16.047
30,02/17/16 05:45:00 PM,1.31270,16.832
31,02/17/16 06:00:00 PM,1.32300,17.521
32,02/17/16 06:15:00 PM,1.32540,18.082
33,02/17/16 06:30:00 PM,1.32147,17.821
34,02/17/16 06:45:00 PM,1.31563,17.553
35,02/17/16 07:00:00 PM,1.31010,17.357
36,02/17/16 07:15:00 PM,1.30312,17.225
37,02/17/16 07:30:00 PM,1.29488,17.189
38,02/17/16 07:45:00 PM,1.28580,17.228
39,02/17/16 08:00:00 PM,1.27577,17.314
40,02/17/16 08:15:00 PM,1.26825,17.254
41,02/17/16 08:30:00 PM,1.25818,17.280
42,02/17/16 08:45:00 PM,1.25212,17.164
43,02/17/16 09:00:00 PM,1.24857,17.124
44,02/17/16 09:15:00 PM,1.24510,17.045
45,02/17/16 09:30:00 PM,1.24075,17.022
46,02/17/16 09:45:00 PM,1.23713,16.949
47,02/17/16 10:00:00 PM,1.23632,16.891
48,02/17/16 10:15:00 PM,1.23545,16.561
49,02/17/16 10:30:00 PM,1.23381,16.315
50,02/17/16 10:45:00 PM,1.23182,16.222
51,02/17/16 11:00:00 PM,1.23049,16.205
52,02/17/16 11:15:00 PM,1.22957,16.137
53,02/17/16 11:30:00 PM,1.22896,16.025
54,02/17/16 11:45:00 PM,1.22827,15.904
55,02/18/16 12:00:00 AM,1.22808,15.828
56,02/18/16 12:15:00 AM,1.22770,15.761
57,02/18/16 12:30:00 AM,1.22797,15.667
58,02/18/16 12:45:00 AM,1.22858,15.594
59,02/18/16 01:00:00 AM,1.22938,15.618
60,02/18/16 01:15:00 AM,1.23030,15.609
61,02/18/16 01:30:00 AM,1.23152,15.421
62,02/18/16 01:45:00 AM,1.23316,15.394
63,02/18/16 02:00:00 AM,1.23480,15.336
64,02/18/16 02:15:00 AM,1.23667,15.354
65,02/18/16 02:30:00 AM,1.23880,15.225
66,02/18/16 02:45:00 AM,1.24079,15.203
67,02/18/16 03:00:00 AM,1.24289,15.214
68,02/18/16 03:15:00 AM,1.24510,15.196
69,02/18/16 03:30:00 AM,1.24685,15.197
70,02/18/16 03:45:00 AM,1.24884,15.103
71,02/18/16 04:00:00 AM,1.25082,15.133
72,02/18/16 04:15:00 AM,1.25322,15.155
73,02/18/16 04:30:00 AM,1.25540,15.082
74,02/18/16 04:45:00 AM,1.25731,15.088
75,02/18/16 05:00:00 AM,1.25952,15.006
76,02/18/16 05:15:00 AM,1.26177,15.363
77,02/18/16 05:30:00 AM,1.26432,15.321
78,02/18/16 05:45:00 AM,1.26604,15.161
79,02/18/16 06:00:00 AM,1.26787,15.079
80,02/18/16 06:15:00 AM,1.26967,15.446
81,02/18/16 06:30:00 AM,1.27104,15.939
82,02/18/16 06:45:00 AM,1.27165,16.247
83,02/18/16 07:00:00 AM,1.27047,16.391
84,02/18/16 07:15:00 AM,1.26783,16.500
85,02/18/16 07:30:00 AM,1.26387,16.701
86,02/18/16 07:45:00 AM,1.25967,16.737
87,02/18/16 08:00:00 AM,1.25502,16.778
88,02/18/16 08:15:00 AM,1.25010,16.817
89,02/18/16 08:30:00 AM,1.24605,16.927
90,02/18/16 08:45:00 AM,1.24166,16.942
91,02/18/16 09:00:00 AM,1.23796,17.054
92,02/18/16 09:15:00 AM,1.23438,17.222
93,02/18/16 09:30:00 AM,1.23106,17.415
94,02/18/16 09:45:00 AM,1.22827,17.611
95,02/18/16 10:00:00 AM,1.22656,17.928
96,02/18/16 10:15:00 AM,1.22686,17.958
97,02/18/16 10:30:00 AM,1.22095,16.713
98,02/18/16 10:45:00 AM,1.40734,6.064
99,02/18/16 11:00:00 AM,1.40887,5.164
100,02/18/16 11:15:00 AM,1.43305,4.735
101,02/18/16 11:30:00 AM,1.43751,4.922
102,02/18/16 11:45:00 AM,1.44202,4.322
103,02/18/16 12:00:00 PM,1.45499,4.735
104,02/18/16 12:15:00 PM,1.48142,4.798
105,02/18/16 12:30:00 PM,1.49744,5.103
106,02/18/16 12:45:00 PM,1.40772,5.235
107,02/18/16 01:00:00 PM,1.40383,5.422
108,02/18/16 01:15:00 PM,1.40597,5.268
109,02/18/16 01:30:00 PM,1.40505,4.989
110,02/18/16 01:45:00 PM,1.40593,4.963
111,02/18/16 02:00:00 PM,1.40539,4.955
112,02/18/16 02:15:00 PM,1.40093,4.900
113,02/18/16 02:30:00 PM,1.39326,4.521
114,02/18/16 02:45:00 PM,1.39132,4.418
115,02/18/16 03:00:00 PM,1.39315,4.360
116,02/18/16 03:15:00 PM,1.38891,4.345
117,02/18/16 03:30:00 PM,1.39029,4.953
118,02/18/16 03:45:00 PM,1.39494,4.449
119,02/18/16 04:00:00 PM,1.39517,4.017
120,02/18/16 04:15:00 PM,1.39048,3.719
121,02/18/16 04:30:00 PM,1.39166,3.602
122,02/18/16 04:45:00 PM,1.39246,3.386
123,02/18/16 05:00:00 PM,1.39322,3.231
124,02/18/16 05:15:00 PM,1.39277,3.052
125,02/18/16 05:30:00 PM,1.48573,13.620
126,02/18/16 05:45:00 PM,1.52022,14.725
127,02/18/16 06:00:00 PM,1.54364,15.272
128,02/18/16 06:15:00 PM,1.55379,16.583
129,02/18/16 06:30:00 PM,1.55386,17.141
130,02/18/16 06:45:00 PM,1.55249,17.101
131,02/18/16 07:00:00 PM,1.54818,18.008
132,02/18/16 07:15:00 PM,1.54280,18.234
133,02/18/16 07:30:00 PM,1.53677,18.118
134,02/18/16 07:45:00 PM,1.53025,17.990
135,02/18/16 08:00:00 PM,1.52544,17.739
136,02/18/16 08:15:00 PM,1.52037,17.735
137,02/18/16 08:30:00 PM,1.51530,17.697
138,02/18/16 08:45:00 PM,1.51007,17.651
139,02/18/16 09:00:00 PM,1.50511,17.781
140,02/18/16 09:15:00 PM,1.49950,17.723
141,02/18/16 09:30:00 PM,1.49668,17.571
142,02/18/16 09:45:00 PM,1.49290,17.526
143,02/18/16 10:00:00 PM,1.48936,17.460
144,02/18/16 10:15:00 PM,1.48505,17.353
145,02/18/16 10:30:00 PM,1.48119,17.292
146,02/18/16 10:45:00 PM,1.47955,17.225
147,02/18/16 11:00:00 PM,1.47654,17.161
148,02/18/16 11:15:00 PM,1.47402,17.049
149,02/18/16 11:30:00 PM,1.47185,17.030
150,02/18/16 11:45:00 PM,1.46956,16.894
151,02/19/16 12:00:00 AM,1.46780,16.926
152,02/19/16 12:15:00 AM,1.46643,16.911
153,02/19/16 12:30:00 AM,1.46525,16.900
154,02/19/16 12:45:00 AM,1.46437,16.891
155,02/19/16 01:00:00 AM,1.46338,16.810
156,02/19/16 01:15:00 AM,1.46288,16.649
157,02/19/16 01:30:00 AM,1.46227,16.664
158,02/19/16 01:45:00 AM,1.46174,16.591
159,02/19/16 02:00:00 AM,1.46132,16.502
160,02/19/16 02:15:00 AM,1.46075,16.326
161,02/19/16 02:30:00 AM,1.46048,16.251
162,02/19/16 02:45:00 AM,1.46010,16.247
