"#","Date Heure, GMT+01:00","Tension, V (LGR S/N: 10831978, SEN S/N: 10831978, LBL: dh)","Temp., °C (LGR S/N: 10831978, SEN S/N: 10831978, LBL: temperature)"
99,02/18/16 11:00:00 AM,1.40887,5.164
100,02/18/16 11:15:00 AM,1.43305,4.735
101,02/18/16 11:30:00 AM,1.43751,4.922
102,02/18/16 11:45:00 AM,1.44202,4.322
103,02/18/16 12:00:00 PM,1.45499,4.735
104,02/18/16 12:15:00 PM,1.48142,4.798
105,02/18/16 12:30:00 PM,1.49744,5.103
106,02/18/16 12:45:00 PM,1.40772,5.235
107,02/18/16 01:00:00 PM,1.40383,5.422
108,02/18/16 01:15:00 PM,1.40597,5.268
109,02/18/16 01:30:00 PM,1.40505,4.989
110,02/18/16 01:45:00 PM,1.40593,4.963
111,02/18/16 02:00:00 PM,1.40539,4.955
112,02/18/16 02:15:00 PM,1.40093,4.900
113,02/18/16 02:30:00 PM,1.39326,4.521
114,02/18/16 02:45:00 PM,1.39132,4.418
115,02/18/16 03:00:00 PM,1.39315,4.360
116,02/18/16 03:15:00 PM,1.38891,4.345
117,02/18/16 03:30:00 PM,1.39029,4.953
118,02/18/16 03:45:00 PM,1.39494,4.449
119,02/18/16 04:00:00 PM,1.39517,4.017
120,02/18/16 04:15:00 PM,1.39048,3.719
121,02/18/16 04:30:00 PM,1.39166,3.602
122,02/18/16 04:45:00 PM,1.39246,3.386
123,02/18/16 05:00:00 PM,1.39322,3.231
