n,date,tension,temperature
1,02/22/16 01:00:00 PM,1.63077,13.861
2,02/22/16 01:15:00 PM,1.64916,13.984
3,02/22/16 01:30:00 PM,1.64595,14.074
4,02/22/16 01:45:00 PM,1.64641,14.430
5,02/22/16 02:00:00 PM,1.65160,14.200
6,02/22/16 02:15:00 PM,1.63798,13.601
7,02/22/16 02:30:00 PM,1.64023,14.689
8,02/22/16 02:45:00 PM,1.64668,14.144
9,02/22/16 03:00:00 PM,1.64836,13.966
10,02/22/16 03:15:00 PM,1.64916,13.499
11,02/22/16 03:30:00 PM,1.65057,13.320
12,02/22/16 03:45:00 PM,1.65488,13.270
13,02/22/16 04:00:00 PM,1.64977,13.132
14,02/22/16 04:15:00 PM,1.64588,12.891
15,02/22/16 04:30:00 PM,1.64683,12.818
16,02/22/16 04:45:00 PM,1.64103,12.612
17,02/22/16 05:00:00 PM,1.63428,12.462
18,02/22/16 05:15:00 PM,1.63050,12.366
19,02/22/16 05:30:00 PM,1.63191,12.287
20,02/22/16 05:45:00 PM,1.63489,12.202
21,02/22/16 06:00:00 PM,1.63798,12.062
22,02/22/16 06:15:00 PM,1.63668,11.951
23,02/22/16 06:30:00 PM,1.63954,11.865
24,02/22/16 06:45:00 PM,1.64527,11.796
25,02/22/16 07:00:00 PM,1.64752,11.702
26,02/22/16 07:15:00 PM,1.64523,11.358
27,02/22/16 07:30:00 PM,1.65427,11.166
28,02/22/16 07:45:00 PM,1.66243,11.055
29,02/22/16 08:00:00 PM,1.66861,11.073
30,02/22/16 08:15:00 PM,1.67796,11.062
31,02/22/16 08:30:00 PM,1.69162,10.860
32,02/22/16 08:45:00 PM,1.69200,10.712
33,02/22/16 09:00:00 PM,1.69158,10.579
34,02/22/16 09:15:00 PM,1.69776,10.433
35,02/22/16 09:30:00 PM,1.70054,10.317
36,02/22/16 09:45:00 PM,1.69585,10.280
37,02/22/16 10:00:00 PM,1.69574,10.271
38,02/22/16 10:15:00 PM,1.69749,10.251
39,02/22/16 10:30:00 PM,1.64149,10.237
40,02/22/16 10:45:00 PM,1.63951,10.181
41,02/22/16 11:00:00 PM,1.64179,10.136
42,02/22/16 11:15:00 PM,1.64305,10.107
43,02/22/16 11:30:00 PM,1.64595,10.081
44,02/22/16 11:45:00 PM,1.65030,10.078
45,02/23/16 12:00:00 AM,1.65248,10.066
46,02/23/16 12:15:00 AM,1.65446,10.056
47,02/23/16 12:30:00 AM,1.65686,10.040
48,02/23/16 12:45:00 AM,1.65942,9.990
49,02/23/16 01:00:00 AM,1.60262,9.937
50,02/23/16 01:15:00 AM,1.60300,9.883
51,02/23/16 01:30:00 AM,1.60384,9.789
52,02/23/16 01:45:00 AM,1.60437,9.717
53,02/23/16 02:00:00 AM,1.60552,9.677
54,02/23/16 02:15:00 AM,1.60643,9.600
55,02/23/16 02:30:00 AM,1.60479,9.581
56,02/23/16 02:45:00 AM,1.60918,9.529
57,02/23/16 03:00:00 AM,1.61067,9.460
58,02/23/16 03:15:00 AM,1.60903,9.410
59,02/23/16 03:30:00 AM,1.60941,9.390
60,02/23/16 03:45:00 AM,1.60941,9.410
61,02/23/16 04:00:00 AM,1.61116,9.466
62,02/23/16 04:15:00 AM,1.61204,9.521
63,02/23/16 04:30:00 AM,1.61170,9.566
64,02/23/16 04:45:00 AM,1.61116,9.537
65,02/23/16 05:00:00 AM,1.61189,9.470
66,02/23/16 05:15:00 AM,1.61322,9.403
67,02/23/16 05:30:00 AM,1.61479,9.366
68,02/23/16 05:45:00 AM,1.61551,9.322
69,02/23/16 06:00:00 AM,1.61521,9.310
70,02/23/16 06:15:00 AM,1.61360,8.545
71,02/23/16 06:30:00 AM,1.60945,7.668
72,02/23/16 06:45:00 AM,1.60422,7.252
73,02/23/16 07:00:00 AM,1.60269,6.980
74,02/23/16 07:15:00 AM,1.59754,6.851
75,02/23/16 07:30:00 AM,1.59483,6.560
76,02/23/16 07:45:00 AM,1.59483,6.499
77,02/23/16 08:00:00 AM,1.59247,6.442
78,02/23/16 08:15:00 AM,1.59152,6.310
79,02/23/16 08:30:00 AM,1.58858,6.220
80,02/23/16 08:45:00 AM,1.59033,6.261
81,02/23/16 09:00:00 AM,1.58759,6.190
82,02/23/16 09:15:00 AM,1.58881,6.341
83,02/23/16 09:30:00 AM,1.59533,6.537
84,02/23/16 09:45:00 AM,1.59705,6.595
