Hauteur Gauche,Hauteur Droit,D-G,Tension,,,,
5,5,0,1.223,,,
6,5,-1,1.23,,,,
7,5,-2,1.238,,,,
8,5,-3,1.249,,,,
9.2,5,-4.2,1.261,,,,
10,5,-5,1.271,,,,
11,5,-6,1.279,,,,
12,5,-7,1.287,,,,
13,5,-8,1.296,,,,
14.2,5,-9.2,1.309,,,,
15,5,-10,1.322,,,,
16,5,-11,1.333,,,,
17,5,-12,1.342,,,,
18,5,-13,1.35,,,,
19.3,5,-14.3,1.363,,,,
20,5,-15,1.372,,,,
21,5,-16,1.382,,,,
22.5,5,-17.5,1.394,,,,
24,5,-19,1.412,,,,
25,5,-20,1.423,,,,
27.4,5,-22.4,1.442,,,,
29,5,-24,1.457,,,,
30,5,-25,1.47,,,,
31,5,-26,1.477,,,,
32,5,-27,1.491,,,,
33,5,-28,1.502,,,,
34,5,-29,1.51,,,,
35,5,-30,1.519,,,,
37,5,-32,1.535,,,,
38,5,-33,1.546,,,,
39,5,-34,1.556,,,,
40,5,-35,1.566,,,,
42,5,-37,1.587,,,,
44.3,5,-39.3,1.609,,,,
45,5,-40,1.62,,,,
47,5,-42,1.637,,,,
49.5,5,-44.5,1.659,,,,
50,5,-45,1.665,,,,
52,5,-47,1.683,,,,
53,5,-48,1.694,,,,
55,5,-50,1.715,,,,
56,5,-51,1.727,,,,
57,5,-52,1.736,,,,
59,5,-54,1.753,,,,
60,5,-55,1.766,,,,
61.5,5,-56.5,1.777,,,,
63,5,-58,1.791,,,,
65,5,-60,1.813,,,,
67,5,-62,1.829,,,,
68,5,-63,1.84,,,,
69,5,-64,1.853,,,,
70,5,-65,1.862,,,,
72.5,5,-67.5,1.881,,,,
74,5,-69,1.898,,,,
75,5,-70,1.909,,,,
,,,,,,,
75,6,-69,1.899,,,,
75,7,-68,1.891,,,,
75,8,-67,1.883,,,,
75,9,-66,1.873,,,,
75,10.5,-64.5,1.858,,,,
75,11.5,-63.5,1.847,,,,
75,13,-62,1.837,,,,
75,14,-61,1.828,,,,
75,15,-60,1.816,,,,
75,16.2,-58.8,1.803,,,,
75,17,-58,1.796,,,,
75,18.5,-56.5,1.783,,,,
75,19.5,-55.5,1.772,,,,
75,20.5,-54.5,1.762,,,,
75,22,-53,1.75,,,,
75,23,-52,1.739,,,,
75,24,-51,1.73,,,,
75,25.5,-49.5,1.715,,,,
75,27,-48,1.701,,,,
75,28,-47,1.69,,,,
75,29,-46,1.678,,,,
75,30,-45,1.669,,,,
75,31.5,-43.5,1.655,,,,
75,33,-42,1.642,,,,
75,35,-40,1.622,,,,
75,37,-38,1.602,,,,
75,39,-36,1.583,,,,
75,40,-35,1.572,,,,
75,42,-33,1.555,,,,
75,44,-31,1.534,,,,
75,45,-30,1.523,,,,
75,47.5,-27.5,1.502,,,,
75,49,-26,1.486,,,,
75,50,-25,1.474,,,,
75,52,-23,1.455,,,,
75,54,-21,1.44,,,,
75,55,-20,1.426,,,,
75,56.5,-18.5,1.411,,,,
75,58,-17,1.396,,,,
75,60,-15,1.376,,,,
75,62,-13,1.356,,,,
75,64.3,-10.7,1.335,,,,
75,65,-10,1.325,,,,
75,67,-8,1.307,,,,
75,69.2,-5.8,1.286,,,,
75,70,-5,1.277,,,,
75,72,-3,1.257,,,,
75,74,-1,1.24,,,,
75,75,0,1.228,,,,
