"Titre de tracé : Hobo8"
"#","Date Heure, GMT+01:00","Temp., °C (LGR S/N: 10759805, SEN S/N: 10759805, LBL: Temperarure1)","Tension, V (LGR S/N: 10759805, SEN S/N: 10759805, LBL: Tension)","Hôte connecté (LGR S/N: 10759805)","Arrêté (LGR S/N: 10759805)","Fin de fichier (LGR S/N: 10759805)"
1,08/03/19 17:39:52,159.157,0.04929,,,
2,08/03/19 17:40:52,17.232,1.23499,,,
3,08/03/19 17:41:52,17.232,1.23484,,,
4,08/03/19 17:42:52,16.823,1.23468,,,
5,08/03/19 17:43:52,16.771,1.23468,,,
6,08/03/19 17:44:52,16.606,1.23457,,,
7,08/03/19 17:45:52,16.710,1.23430,,,
8,08/03/19 17:46:52,16.704,1.23419,,,
9,08/03/19 17:47:52,16.691,1.23426,,,
10,08/03/19 17:48:52,16.771,1.23388,,,
11,08/03/19 17:49:52,16.743,1.23381,,,
12,08/03/19 17:50:52,16.485,1.23358,,,
13,08/03/19 17:51:52,16.336,1.23339,,,
14,08/03/19 17:52:52,16.165,1.23529,,,
15,08/03/19 17:53:52,17.379,1.23289,,,
16,08/03/19 17:54:52,18.687,1.23274,,,
17,08/03/19 17:55:52,18.993,1.23243,,,
18,08/03/19 17:56:52,19.557,1.23224,,,
19,08/03/19 17:57:52,20.406,1.23198,,,
20,08/03/19 17:58:52,21.418,1.23201,,,
21,08/03/19 17:59:52,22.387,1.23186,,,
22,08/03/19 18:00:52,23.190,1.23198,,,
23,08/03/19 18:01:52,23.760,1.23178,,,
24,08/03/19 18:02:52,24.145,1.23186,,,
25,08/03/19 18:03:52,24.368,1.23201,,,
26,08/03/19 18:04:52,24.517,1.23220,,,
27,08/03/19 18:05:52,24.649,1.23224,,,
28,08/03/19 18:06:52,24.765,1.23224,,,
29,08/03/19 18:07:52,24.857,1.23255,,,
30,08/03/19 18:08:52,24.931,1.23259,,,
31,08/03/19 18:09:52,25.003,1.23270,,,
32,08/03/19 18:10:52,25.084,1.23285,,,
33,08/03/19 18:11:52,25.098,1.23297,,,
34,08/03/19 18:12:52,24.959,1.23312,,,
35,08/03/19 18:13:52,24.835,1.23316,,,
