dates,tension,temperature,deltaH
NA,1.096,19.6698387096774,0.055
NA,1.15,19.6698387096774,0.021
NA,1.23,19.6698387096774,-0.022
NA,1.29,19.6698387096774,-0.052
NA,1.34,19.6698387096774,-0.084
NA,1.42,19.6698387096774,-0.114
NA,1.47,19.6698387096774,-0.157
NA,1.54,19.6698387096774,-0.197
NA,1.59,19.6698387096774,-0.226
NA,1.68,19.6698387096774,-0.275
NA,1.737,19.6698387096774,-0.307
NA,1.81,19.6698387096774,-0.35
NA,1.88,19.6698387096774,-0.392
NA,1.94,19.6698387096774,-0.421
NA,2,19.6698387096774,-0.454
NA,2.07,19.6698387096774,-0.494
NA,2.15,19.6698387096774,-0.542
NA,2.23,19.6698387096774,-0.583
NA,2.29,19.6698387096774,-0.62
NA,2.37,19.6698387096774,-0.668
NA,2.45,19.6698387096774,-0.708
NA,2.39,19.6698387096774,-0.665
NA,2.28,19.6698387096774,-0.614
NA,2.18,19.6698387096774,-0.55
NA,2.1,19.6698387096774,-0.508
NA,2,19.6698387096774,-0.454
NA,1.87,19.6698387096774,-0.379
NA,1.78,19.6698387096774,-0.329
NA,1.7,19.6698387096774,-0.284
NA,1.62,19.6698387096774,-0.225
NA,1.54,19.6698387096774,-0.191
NA,1.43,19.6698387096774,-0.128
NA,1.35,19.6698387096774,-0.089
NA,1.29,19.6698387096774,-0.052
