#,Date Time,Tension Tension (V),Température Temp. (°C)
1,02/07/21 18:00:00,1.28195,23.157
2,02/07/21 18:01:00,1.28294,23.154
3,02/07/21 18:02:00,1.28218,23.081
4,02/07/21 18:03:00,1.28347,22.985
5,02/07/21 18:04:00,1.28542,23.075
6,02/07/21 18:05:00,1.28538,23.052
7,02/07/21 18:06:00,1.28492,23.106
8,02/07/21 18:07:00,1.28588,22.992
9,02/07/21 18:08:00,1.28683,23.048
10,02/07/21 18:09:00,1.28744,23.042
11,02/07/21 18:10:00,1.28683,23.129
12,02/07/21 18:11:00,1.28714,23.271
13,02/07/21 18:12:00,1.28695,23.193
14,02/07/21 18:13:00,1.28634,23.204
15,02/07/21 18:14:00,1.28618,23.207
16,02/07/21 18:15:00,1.28672,22.983
17,02/07/21 18:16:00,1.28809,23.030
18,02/07/21 18:17:00,1.29164,22.952
19,02/07/21 18:18:00,1.29061,22.652
20,02/07/21 18:19:00,1.29015,22.802
21,02/07/21 18:20:00,1.28897,22.836
22,02/07/21 18:21:00,1.28813,22.854
23,02/07/21 18:22:00,1.28630,22.940
24,02/07/21 18:23:00,1.28641,23.000
25,02/07/21 18:24:00,1.28733,22.884
26,02/07/21 18:25:00,1.28943,22.890
27,02/07/21 18:26:00,1.29065,22.926
28,02/07/21 18:27:00,1.29152,22.940
29,02/07/21 18:28:00,1.29152,22.922
30,02/07/21 18:29:00,1.29202,22.929
31,02/07/21 18:30:00,1.29202,22.941
32,02/07/21 18:31:00,1.29171,22.941
33,02/07/21 18:32:00,1.29053,23.019
34,02/07/21 18:33:00,1.29088,23.063
35,02/07/21 18:34:00,1.29011,23.031
36,02/07/21 18:35:00,1.28946,23.027
37,02/07/21 18:36:00,1.29004,23.111
38,02/07/21 18:37:00,1.29015,23.163
39,02/07/21 18:38:00,1.29171,23.087
40,02/07/21 18:39:00,1.29187,23.169
41,02/07/21 18:40:00,1.29187,23.193
42,02/07/21 18:41:00,1.29259,23.135
43,02/07/21 18:42:00,1.29290,23.057
44,02/07/21 18:43:00,1.29339,23.084
45,02/07/21 18:44:00,1.29248,23.120
46,02/07/21 18:45:00,1.29324,23.177
47,02/07/21 18:46:00,1.29229,23.202
48,02/07/21 18:47:00,1.29274,23.228
49,02/07/21 18:48:00,1.29133,23.235
50,02/07/21 18:49:00,1.29168,23.340
51,02/07/21 18:50:00,1.29248,23.285
52,02/07/21 18:51:00,1.29278,23.294
53,02/07/21 18:52:00,1.29301,23.315
54,02/07/21 18:53:00,1.29568,23.273
