dates,tension,temperature,deltaH
NA,1.229,0.835856747960347,0
NA,1.209,0.835856747960347,-0.01
NA,1.193,0.835856747960347,-0.02
NA,1.173,0.835856747960347,-0.03
NA,1.156,0.835856747960347,-0.04
NA,1.135,0.835856747960347,-0.05
NA,1.119,0.835856747960347,-0.06
NA,1.097,0.835856747960347,-0.075
NA,1.082,0.835856747960347,-0.08
NA,1.066,0.835856747960347,-0.09
NA,1.046,0.835856747960347,-0.1
NA,1.027,0.835856747960347,-0.11
NA,1.013,0.835856747960347,-0.12
NA,0.994,0.835856747960347,-0.13
NA,0.973,0.835856747960347,-0.14
NA,0.951,0.835856747960347,-0.15
NA,0.931,0.835856747960347,-0.16
NA,0.914,0.835856747960347,-0.17
NA,0.898,0.835856747960347,-0.18
NA,0.874,0.835856747960347,-0.19
NA,0.86,0.835856747960347,-0.2
NA,0.839,0.835856747960347,-0.215
NA,0.811,0.835856747960347,-0.23
NA,0.787,0.835856747960347,-0.24
NA,0.774,0.835856747960347,-0.25
NA,0.753,0.835856747960347,-0.26
NA,0.73,0.835856747960347,-0.275
NA,0.699,0.835856747960347,-0.29
NA,0.683,0.835856747960347,-0.3
NA,0.662,0.835856747960347,-0.31
NA,0.659,0.835856747960347,-0.31
NA,0.702,0.835856747960347,-0.29
NA,0.74,0.835856747960347,-0.27
NA,0.784,0.835856747960347,-0.245
NA,0.845,0.835856747960347,-0.21
NA,0.933,0.835856747960347,-0.16
NA,0.979,0.835856747960347,-0.135
NA,1.008,0.835856747960347,-0.12
NA,1.069,0.835856747960347,-0.09
NA,1.14,0.835856747960347,-0.05
NA,1.211,0.835856747960347,-0.01
NA,1.29,0.835856747960347,0.035
NA,1.391,0.835856747960347,0.09
NA,1.503,0.835856747960347,0.15
NA,1.57,0.835856747960347,0.19
NA,1.62,0.835856747960347,0.215
NA,1.66,0.835856747960347,0.24
NA,1.72,0.835856747960347,0.28
NA,1.768,0.835856747960347,0.3
NA,1.837,0.835856747960347,0.34
NA,1.861,0.835856747960347,0.35
NA,1.908,0.835856747960347,0.38
NA,1.949,0.835856747960347,0.4
NA,2.002,0.835856747960347,0.43
NA,2.033,0.835856747960347,0.45
