"Titre de tracé : P533"
"#","Date Heure, GMT+01:00","Tension, V (LGR S/N: 10445469, SEN S/N: 10445469, LBL: Pression)","Temp., °C (LGR S/N: 10445469, SEN S/N: 10445469, LBL: Température)","Hôte connecté (LGR S/N: 10445469)","Arrêté (LGR S/N: 10445469)","Fin de fichier (LGR S/N: 10445469)"
1,02/01/17 03:19:17 PM,1.34127,21.127,,,
2,02/01/17 03:20:17 PM,1.34127,21.246,,,
3,02/01/17 03:21:17 PM,1.47558,20.913,,,
4,02/01/17 03:22:17 PM,1.33394,20.889,,,
5,02/01/17 03:23:17 PM,1.27656,20.793,,,
6,02/01/17 03:24:17 PM,1.25824,20.841,,,
7,02/01/17 03:25:17 PM,1.28999,23.472,,,
8,02/01/17 03:26:17 PM,1.25641,23.737,,,
9,02/01/17 03:27:17 PM,1.26496,23.905,,,
10,02/01/17 03:28:17 PM,1.27167,24.195,,,
11,02/01/17 03:29:17 PM,1.28205,24.557,,,
12,02/01/17 03:30:17 PM,1.27228,24.919,,,
13,02/01/17 03:31:17 PM,1.26435,25.210,,,
14,02/01/17 03:32:17 PM,1.30525,25.404,,,
15,02/01/17 03:33:17 PM,1.27839,25.574,,,
16,02/01/17 03:34:17 PM,1.28144,25.623,,,
17,02/01/17 03:35:17 PM,1.28327,25.695,,,
18,02/01/17 03:36:17 PM,1.31868,25.817,,,
19,02/01/17 03:37:17 PM,1.29365,25.890,,,
20,02/01/17 03:38:17 PM,1.29915,25.890,,,
21,02/01/17 03:39:17 PM,1.27534,25.817,,,
22,02/01/17 03:40:17 PM,1.26618,25.574,,,
23,02/01/17 03:41:17 PM,1.30769,25.234,,,
24,02/01/17 03:42:17 PM,1.29304,24.871,,,
25,02/01/17 03:43:17 PM,1.29487,24.605,,,
26,02/01/17 03:44:17 PM,1.28938,24.436,,,
27,02/01/17 03:45:17 PM,1.28388,24.363,,,
28,02/01/17 03:46:17 PM,1.28083,24.363,,,
29,02/01/17 03:47:17 PM,1.31807,24.363,,,
30,02/01/17 03:48:17 PM,1.31868,24.412,,,
31,02/01/17 03:49:17 PM,1.27473,24.460,,,
32,02/01/17 03:50:17 PM,1.29731,24.508,,,
33,02/01/17 03:51:17 PM,1.27534,24.532,,,
34,02/01/17 03:52:17 PM,1.29670,24.532,,,
35,02/01/17 03:53:17 PM,1.32601,24.532,,,
36,02/01/17 03:54:17 PM,1.28632,24.508,,,
37,02/01/17 03:55:17 PM,1.28510,24.436,,,
38,02/01/17 03:56:17 PM,1.28388,24.339,,,
39,02/01/17 03:57:17 PM,1.27289,24.291,,,
40,02/01/17 03:58:17 PM,1.28449,24.243,,,
41,02/01/17 03:59:17 PM,1.30403,24.243,,,
42,02/01/17 04:00:17 PM,1.30464,24.243,,,
43,02/01/17 04:01:17 PM,1.28999,24.171,,,
44,02/01/17 04:02:17 PM,1.30281,24.122,,,
45,02/01/17 04:03:17 PM,1.26007,24.074,,,
46,02/01/17 04:04:17 PM,1.26984,24.002,,,
47,02/01/17 04:05:17 PM,1.30037,23.954,,,
48,02/01/17 04:06:17 PM,1.29853,23.905,,,
49,02/01/17 04:07:17 PM,1.31624,23.881,,,
50,02/01/17 04:08:17 PM,1.28083,23.857,,,
51,02/01/17 04:09:17 PM,1.29976,23.833,,,
52,02/01/17 04:10:17 PM,1.24725,23.809,,,
53,02/01/17 04:11:17 PM,1.28327,23.809,,,
54,02/01/17 04:12:17 PM,1.29365,23.761,,,
55,02/01/17 04:13:17 PM,1.28205,23.737,,,
56,02/01/17 04:14:17 PM,1.30830,23.689,,,
57,02/01/17 04:15:17 PM,1.25031,23.641,,,
58,02/01/17 04:16:17 PM,1.30464,23.593,,,
59,02/01/17 04:17:17 PM,1.30464,23.569,,,
60,02/01/17 04:18:17 PM,1.27289,23.521,,,
61,02/01/17 04:19:17 PM,1.29548,23.521,,,
62,02/01/17 04:20:17 PM,1.26435,23.497,,,
63,02/01/17 04:21:17 PM,1.30586,23.448,,,
64,02/01/17 04:22:17 PM,1.29915,23.400,,,
65,02/01/17 04:23:17 PM,1.31746,23.400,,,
66,02/01/17 04:24:17 PM,1.28449,23.328,,,
67,02/01/17 04:25:17 PM,1.27167,23.280,,,
68,02/01/17 04:26:17 PM,1.30159,23.256,,,
69,02/01/17 04:27:17 PM,1.30159,23.232,,,
70,02/01/17 04:28:17 PM,1.26374,23.184,,,
71,02/01/17 04:29:17 PM,1.27045,23.136,,,
72,02/01/17 04:30:17 PM,1.26496,23.088,,,
73,02/01/17 04:31:17 PM,1.28205,23.064,,,
74,02/01/17 04:32:17 PM,1.27534,23.040,,,
75,02/01/17 04:33:17 PM,1.30891,23.040,,,
76,02/01/17 04:34:17 PM,1.26496,23.040,,,
77,02/01/17 04:35:17 PM,1.29121,23.016,,,
78,02/01/17 04:36:17 PM,1.27595,22.944,,,
79,02/01/17 04:37:17 PM,1.28205,22.920,,,
80,02/01/17 04:38:17 PM,1.28571,22.920,,,
81,02/01/17 04:39:17 PM,1.27228,22.896,,,
82,02/01/17 04:40:17 PM,1.26618,22.872,,,
83,02/01/17 04:41:17 PM,1.28816,22.824,,,
84,02/01/17 04:42:17 PM,1.26496,22.753,,,
85,02/01/17 04:43:17 PM,1.26618,22.729,,,
86,02/01/17 04:44:17 PM,1.31136,22.705,,,
87,02/01/17 04:45:17 PM,1.27656,22.681,,,
88,02/01/17 04:46:17 PM,1.29365,22.657,,,
89,02/01/17 04:47:17 PM,1.26435,22.633,,,
90,02/01/17 04:48:17 PM,1.26557,22.585,,,
91,02/01/17 04:49:17 PM,1.26190,22.537,,,
92,02/01/17 04:50:17 PM,1.28205,22.513,,,
93,02/01/17 04:51:17 PM,1.29365,22.513,,,
94,02/01/17 04:52:17 PM,1.29121,22.441,,,
95,02/01/17 04:53:17 PM,1.28632,22.393,,,
96,02/01/17 04:54:17 PM,1.29365,22.345,,,
97,02/01/17 04:55:17 PM,1.29426,22.345,,,
98,02/01/17 04:56:17 PM,1.29365,22.321,,,
99,02/01/17 04:57:17 PM,1.26313,22.274,,,
100,02/01/17 04:58:17 PM,1.30952,22.250,,,
101,02/01/17 04:59:17 PM,1.28205,22.226,,,
102,02/01/17 05:00:17 PM,1.27900,22.202,,,
103,02/01/17 05:01:17 PM,1.27228,22.154,,,
104,02/01/17 05:02:17 PM,1.26618,22.130,,,
105,02/01/17 05:03:17 PM,1.26923,22.082,,,
106,02/01/17 05:04:17 PM,1.31074,22.034,,,
107,02/01/17 05:05:17 PM,1.30037,21.963,,,
108,02/01/17 05:06:17 PM,1.27228,21.963,,,
109,02/01/17 05:07:17 PM,1.26374,21.987,,,
110,02/01/17 05:08:17 PM,1.28144,21.987,,,
111,02/01/17 05:09:17 PM,1.29121,21.987,,,
112,02/01/17 05:10:17 PM,1.26252,21.963,,,
113,02/01/17 05:11:17 PM,1.26374,21.915,,,
114,02/01/17 05:12:17 PM,1.26679,21.819,,,
115,02/01/17 05:13:17 PM,1.29548,21.772,,,
116,02/01/17 05:14:17 PM,1.26557,21.748,,,
117,02/01/17 05:15:17 PM,1.28388,21.748,,,
118,02/01/17 05:16:17 PM,1.28083,21.700,,,
119,02/01/17 05:17:17 PM,1.30647,21.652,,,
120,02/01/17 05:18:17 PM,1.25397,21.652,,,
121,02/01/17 05:19:17 PM,1.27656,21.676,,,
122,02/01/17 05:20:17 PM,1.28571,21.676,,,
123,02/01/17 05:21:17 PM,1.28816,21.676,,,
124,02/01/17 05:22:17 PM,1.25946,21.604,,,
125,02/01/17 05:23:17 PM,1.31441,21.509,,,
126,02/01/17 05:24:17 PM,1.28816,21.437,,,
127,02/01/17 05:25:17 PM,1.27350,21.390,,,
128,02/01/17 05:26:17 PM,1.26252,21.342,,,
129,02/01/17 05:27:17 PM,1.25336,21.318,,,
130,02/01/17 05:28:17 PM,1.24847,21.294,,,
131,02/01/17 05:29:17 PM,1.28877,21.294,,,
132,02/01/17 05:30:17 PM,1.26984,21.318,,,
133,02/01/17 05:31:17 PM,1.29487,21.318,,,
134,02/01/17 05:32:17 PM,1.28571,21.294,,,
135,02/01/17 05:33:17 PM,1.28205,21.246,,,
136,02/01/17 05:34:17 PM,1.27778,21.175,,,
137,02/01/17 05:35:17 PM,1.26984,21.079,,,
138,02/01/17 05:36:17 PM,1.28144,21.008,,,
139,02/01/17 05:37:17 PM,1.27717,20.984,,,
140,02/01/17 05:38:17 PM,1.27106,20.960,,,
141,02/01/17 05:39:17 PM,1.27473,20.913,,,
142,02/01/17 05:40:17 PM,1.29365,20.865,,,
143,02/01/17 05:41:17 PM,1.26068,20.841,,,
144,02/01/17 05:42:17 PM,1.24603,20.841,,,
145,02/01/17 05:43:17 PM,1.29915,20.841,,,
146,02/01/17 05:44:17 PM,1.27900,20.817,,,
147,02/01/17 05:45:17 PM,1.28144,20.770,,,
148,02/01/17 05:46:17 PM,1.28632,20.746,,,
149,02/01/17 05:47:17 PM,1.27411,20.746,,,
150,02/01/17 05:48:17 PM,1.28449,20.698,,,
151,02/01/17 05:49:17 PM,1.28816,20.674,,,
152,02/01/17 05:50:17 PM,1.26618,20.698,,,
153,02/01/17 05:51:17 PM,1.26679,20.674,,,
154,02/01/17 05:52:17 PM,1.28144,20.674,,,
155,02/01/17 05:53:17 PM,1.27350,20.627,,,
156,02/01/17 05:54:17 PM,1.25275,20.627,,,
157,02/01/17 05:55:17 PM,1.28877,20.579,,,
158,02/01/17 05:56:17 PM,1.27106,20.555,,,
159,02/01/17 05:57:17 PM,1.26068,20.460,,,
160,02/01/17 05:58:17 PM,1.27717,20.412,,,
161,02/01/17 05:59:17 PM,1.25519,20.365,,,
162,02/01/17 06:00:17 PM,1.29426,20.317,,,
163,02/01/17 06:01:17 PM,1.27656,20.293,,,
164,02/01/17 06:02:17 PM,1.27778,20.269,,,
165,02/01/17 06:03:17 PM,1.25458,20.246,,,
166,02/01/17 06:04:17 PM,1.25946,20.222,,,
167,02/01/17 06:05:17 PM,1.26068,20.198,,,
168,02/01/17 06:06:17 PM,1.25519,20.174,,,
169,02/01/17 06:07:17 PM,1.25946,20.103,,,
170,02/01/17 06:08:17 PM,1.25824,20.055,,,
171,02/01/17 06:09:17 PM,1.25763,20.055,,,
172,02/01/17 06:10:17 PM,1.26801,20.031,,,
173,02/01/17 06:11:17 PM,1.24969,20.031,,,
174,02/01/17 06:12:17 PM,1.27045,20.031,,,
175,02/01/17 06:13:17 PM,1.28083,20.031,,,
176,02/01/17 06:14:17 PM,1.28144,20.031,,,
177,02/01/17 06:15:17 PM,1.25885,19.984,,,
178,02/01/17 06:16:17 PM,1.26496,19.888,,,
179,02/01/17 06:17:17 PM,1.27411,19.841,,,
180,02/01/17 06:18:17 PM,1.28816,19.817,,,
181,02/01/17 06:19:17 PM,1.27228,19.793,,,
182,02/01/17 06:20:17 PM,1.26374,19.746,,,
183,02/01/17 06:21:17 PM,1.28388,19.722,,,
184,02/01/17 06:22:17 PM,1.28938,19.698,,,
185,02/01/17 06:23:17 PM,1.27778,19.698,,,
186,02/01/17 06:24:17 PM,1.27045,19.651,,,
187,02/01/17 06:25:17 PM,1.27595,19.603,,,
188,02/01/17 06:26:17 PM,1.24603,19.555,,,
189,02/01/17 06:27:17 PM,1.25885,19.532,,,
190,02/01/17 06:28:17 PM,1.25031,19.484,,,
191,02/01/17 06:29:17 PM,1.25458,19.436,,,
192,02/01/17 06:30:17 PM,1.26923,19.436,,,
193,02/01/17 06:31:17 PM,1.26129,19.413,,,
194,02/01/17 06:32:17 PM,1.26862,19.389,,,
195,02/01/17 06:33:17 PM,1.25763,19.318,,,
196,02/01/17 06:34:17 PM,1.26801,19.294,,,
197,02/01/17 06:35:17 PM,1.26007,19.270,,,
198,02/01/17 06:36:17 PM,1.26252,19.222,,,
199,02/01/17 06:37:17 PM,1.27656,19.222,,,
200,02/01/17 06:38:17 PM,1.24969,19.222,,,
201,02/01/17 06:39:17 PM,1.29182,19.246,,,
202,02/01/17 06:40:17 PM,1.23687,19.246,,,
203,02/01/17 06:41:17 PM,1.27778,19.199,,,
204,02/01/17 06:42:17 PM,1.25702,19.199,,,
205,02/01/17 06:43:17 PM,1.24725,19.151,,,
206,02/01/17 06:44:17 PM,1.26007,19.056,,,
207,02/01/17 06:45:17 PM,1.25519,18.961,,,
208,02/01/17 06:46:17 PM,1.23932,18.913,,,
209,02/01/17 06:47:17 PM,1.28694,18.889,,,
210,02/01/17 06:48:17 PM,1.28205,18.866,,,
211,02/01/17 06:49:17 PM,1.29487,18.842,,,
212,02/01/17 06:50:17 PM,1.27534,18.818,,,
213,02/01/17 06:51:17 PM,1.27228,18.794,,,
214,02/01/17 06:52:17 PM,1.25580,18.771,,,
215,02/01/17 06:53:17 PM,1.28449,18.747,,,
216,02/01/17 06:54:17 PM,1.26740,18.699,,,
217,02/01/17 06:55:17 PM,1.26984,18.628,,,
218,02/01/17 06:56:17 PM,1.25031,18.604,,,
219,02/01/17 06:57:17 PM,1.27106,18.604,,,
220,02/01/17 06:58:17 PM,1.26679,18.580,,,
221,02/01/17 06:59:17 PM,1.27717,18.557,,,
222,02/01/17 07:00:17 PM,1.27411,18.509,,,
223,02/01/17 07:01:17 PM,1.23748,18.461,,,
224,02/01/17 07:02:17 PM,1.27656,18.438,,,
225,02/01/17 07:03:17 PM,1.23993,18.414,,,
226,02/01/17 07:04:17 PM,1.25336,18.438,,,
227,02/01/17 07:05:17 PM,1.25763,18.390,,,
228,02/01/17 07:06:17 PM,1.25763,18.366,,,
229,02/01/17 07:07:17 PM,1.27289,18.319,,,
230,02/01/17 07:08:17 PM,1.27228,18.271,,,
231,02/01/17 07:09:17 PM,1.25641,18.224,,,
232,02/01/17 07:10:17 PM,1.26496,18.176,,,
233,02/01/17 07:11:17 PM,1.26496,18.129,,,
234,02/01/17 07:12:17 PM,1.26129,18.129,,,
235,02/01/17 07:13:17 PM,1.29060,18.129,,,
236,02/01/17 07:14:17 PM,1.25885,18.105,,,
237,02/01/17 07:15:17 PM,1.24603,18.129,,,
238,02/01/17 07:16:17 PM,1.25885,18.129,,,
239,02/01/17 07:17:17 PM,1.25580,18.129,,,
240,02/01/17 07:18:17 PM,1.26618,18.081,,,
241,02/01/17 07:19:17 PM,1.26068,18.010,,,
242,02/01/17 07:20:17 PM,1.25153,17.962,,,
243,02/01/17 07:21:17 PM,1.26496,17.938,,,
244,02/01/17 07:22:17 PM,1.25702,17.867,,,
245,02/01/17 07:23:17 PM,1.24542,17.796,,,
246,02/01/17 07:24:17 PM,1.27289,17.701,,,
247,02/01/17 07:25:17 PM,1.25824,17.629,,,
248,02/01/17 07:26:17 PM,1.24786,17.629,,,
249,02/01/17 07:27:17 PM,1.26007,17.605,,,
250,02/01/17 07:28:17 PM,1.28022,17.629,,,
251,02/01/17 07:29:17 PM,1.26007,17.653,,,
252,02/01/17 07:30:17 PM,1.27289,17.653,,,
253,02/01/17 07:31:17 PM,1.25153,17.653,,,
254,02/01/17 07:32:17 PM,1.25214,17.629,,,
255,02/01/17 07:33:17 PM,1.28083,17.582,,,
256,02/01/17 07:34:17 PM,1.23810,17.510,,,
257,02/01/17 07:35:17 PM,1.24115,17.463,,,
258,02/01/17 07:36:17 PM,1.27228,17.439,,,
259,02/01/17 07:37:17 PM,1.23687,17.391,,,
260,02/01/17 07:38:17 PM,1.23260,17.344,,,
261,02/01/17 07:39:17 PM,1.27717,17.296,,,
262,02/01/17 07:40:17 PM,1.24908,17.272,,,
263,02/01/17 07:41:17 PM,1.24481,17.272,,,
264,02/01/17 07:42:17 PM,1.23687,17.272,,,
265,02/01/17 07:43:17 PM,1.25519,17.249,,,
266,02/01/17 07:44:17 PM,1.24847,17.225,,,
267,02/01/17 07:45:17 PM,1.28510,17.201,,,
268,02/01/17 07:46:17 PM,1.26374,17.177,,,
269,02/01/17 07:47:17 PM,1.24664,17.153,,,
270,02/01/17 07:48:17 PM,1.25519,17.106,,,
271,02/01/17 07:49:17 PM,1.23748,17.058,,,
272,02/01/17 07:50:17 PM,1.25397,17.011,,,
273,02/01/17 07:51:17 PM,1.25824,16.963,,,
274,02/01/17 07:52:17 PM,1.26007,16.939,,,
275,02/01/17 07:53:17 PM,1.26068,16.892,,,
276,02/01/17 07:54:17 PM,1.26007,16.868,,,
277,02/01/17 07:55:17 PM,1.26496,16.844,,,
278,02/01/17 07:56:17 PM,1.24420,16.844,,,
