dates,tension,temperature,deltaH
NA,1.20147,17.0606541861674,-0.002
NA,1.18132,17.0606541861674,0.006
NA,1.1514,17.0606541861674,0.016
NA,1.11844,17.0606541861674,0.026
NA,1.08608,17.0606541861674,0.036
NA,1.05311,17.0606541861674,0.046
NA,1.01954,17.0606541861674,0.056
NA,0.97741,17.0606541861674,0.068
NA,0.94567,17.0606541861674,0.079
NA,0.90476,17.0606541861674,0.092
NA,0.83944,17.0606541861674,0.112
NA,0.779,17.0606541861674,0.131
NA,0.74908,17.0606541861674,0.142
NA,0.70147,17.0606541861674,0.156
NA,0.63472,17.0606541861674,0.188
NA,1.18559,17.0606541861674,0.005
NA,1.2033,17.0606541861674,0
NA,1.23443,17.0606541861674,-0.01
NA,1.2619,17.0606541861674,-0.02
NA,1.30159,17.0606541861674,-0.03
NA,1.3315,17.0606541861674,-0.04
NA,1.36142,17.0606541861674,-0.05
NA,1.39744,17.0606541861674,-0.06
NA,1.4304,17.0606541861674,-0.07
NA,1.46581,17.0606541861674,-0.08
NA,1.49328,17.0606541861674,-0.09
NA,1.52259,17.0606541861674,-0.1
NA,1.55556,17.0606541861674,-0.112
NA,1.59076,17.0606541861674,-0.122
NA,1.61355,17.0606541861674,-0.13
NA,1.72222,17.0606541861674,-0.165
NA,1.80342,17.0606541861674,-0.19
NA,1.96581,17.0606541861674,-0.24
NA,2.12332,17.0606541861674,-0.29
NA,2.33516,17.0606541861674,-0.355
