dates,tension,temperature,deltaH
26/04/2019 09:20:00,1.18905493672819,18.935,0.02
26/04/2019 09:21:00,1.18952472925823,19.207,0.02
26/04/2019 09:22:00,1.19016723963021,19.579,0.02
26/04/2019 09:23:00,1.19152134751094,20.363,0.02
26/04/2019 09:24:00,1.19335561099225,21.425,0.02
26/04/2019 09:25:00,1.19525205289664,22.523,0.02
26/04/2019 09:26:00,1.19682896679347,23.436,0.02
26/04/2019 09:27:00,1.19793090662498,24.074,0.02
26/04/2019 09:28:00,1.1986390497769,24.484,0.02
26/04/2019 09:29:00,1.19904148234859,24.717,0.02
26/04/2019 09:30:00,1.19925737965101,24.842,0.02
26/04/2019 09:31:00,1.19941109853032,24.931,0.02
26/04/2019 09:32:00,1.19954063691177,25.006,0.02
26/04/2019 09:33:00,1.19967362965006,25.083,0.02
26/04/2019 09:34:00,1.19979798649625,25.155,0.02
26/04/2019 09:35:00,1.19981007674518,25.162,0.02
26/04/2019 09:36:00,1.19960972404854,25.046,0.02
26/04/2019 09:37:00,1.19946464106132,24.962,0.02
26/04/2019 09:38:00,1.19943527902819,24.945,0.02
26/04/2019 09:39:00,1.19941628006558,24.934,0.02
26/04/2019 09:40:00,1.19938519085403,24.916,0.02
26/04/2019 09:41:00,1.19938864521087,24.918,0.02
26/04/2019 09:42:00,1.19937828214036,24.912,0.02
26/04/2019 09:43:00,1.1993281939662,24.883,0.02
26/04/2019 09:44:00,1.19935928317774,24.901,0.02
26/04/2019 09:45:00,1.19938519085403,24.916,0.02
26/04/2019 09:58:00,1.19896721367656,24.674,0.02
26/04/2019 09:59:00,1.19889812653979,24.634,0.02
26/04/2019 10:00:00,1.19882903940302,24.594,0.02
26/04/2019 10:01:00,1.19886703732824,24.616,0.02
26/04/2019 10:02:00,1.19882385786776,24.591,0.02
26/04/2019 10:03:00,1.19870468255683,24.522,0.02
26/04/2019 10:04:00,1.19870986409209,24.525,0.02
26/04/2019 10:05:00,1.19873059023312,24.537,0.02
26/04/2019 10:06:00,1.19877549687202,24.563,0.02
26/04/2019 10:07:00,1.19863214106322,24.48,0.02
26/04/2019 10:08:00,1.19855787239119,24.437,0.02
26/04/2019 10:09:00,1.19852505600122,24.418,0.02
26/04/2019 10:10:00,1.19849914832493,24.403,0.02
26/04/2019 10:11:00,1.19840760786871,24.35,0.02
26/04/2019 10:12:00,1.19832124894774,24.3,0.02
26/04/2019 10:13:00,1.19827116077358,24.271,0.02
26/04/2019 10:14:00,1.1982901597362,24.282,0.02
26/04/2019 10:15:00,1.19827116077358,24.271,0.02
26/04/2019 10:16:00,1.19818825620946,24.223,0.02
26/04/2019 10:17:00,1.19815198546265,24.202,0.02
26/04/2019 10:18:00,1.19813471367846,24.192,0.02
26/04/2019 10:19:00,1.19799653940491,24.112,0.02
26/04/2019 10:20:00,1.19799653940491,24.112,0.02
26/04/2019 10:21:00,1.19801208401069,24.121,0.02
26/04/2019 10:22:00,1.19789290869976,24.052,0.02
26/04/2019 10:23:00,1.19784800206085,24.026,0.02
26/04/2019 10:24:00,1.1978790912724,24.044,0.02
26/04/2019 10:25:00,1.1977720062104,23.982,0.02
26/04/2019 10:26:00,1.19775646160463,23.973,0.02
26/04/2019 10:27:00,1.19772364521466,23.954,0.02
26/04/2019 10:28:00,1.19764764936422,23.91,0.02
26/04/2019 10:29:00,1.19761656015267,23.892,0.02
26/04/2019 10:30:00,1.19756647197851,23.863,0.02
26/04/2019 10:31:00,1.19755092737273,23.854,0.02
26/04/2019 10:32:00,1.19744729666758,23.794,0.02
26/04/2019 10:33:00,1.19739029977974,23.761,0.02
26/04/2019 10:34:00,1.19736093774661,23.744,0.02
26/04/2019 10:35:00,1.19731775828613,23.719,0.02
26/04/2019 10:36:00,1.19725039832778,23.68,0.02
26/04/2019 10:37:00,1.19723139936516,23.669,0.02
26/04/2019 10:38:00,1.19715885787155,23.627,0.02
26/04/2019 10:39:00,1.19704313691746,23.56,0.02
26/04/2019 10:40:00,1.19704313691746,23.56,0.02
26/04/2019 10:41:00,1.19703450102536,23.555,0.02
26/04/2019 10:42:00,1.19695677799649,23.51,0.02
26/04/2019 10:43:00,1.19695505081807,23.509,0.02
26/04/2019 10:44:00,1.19695505081807,23.509,0.02
26/04/2019 10:45:00,1.1968496929345,23.448,0.02
26/04/2019 10:46:00,1.19678233297614,23.409,0.02
26/04/2019 10:47:00,1.19676160683511,23.397,0.02
26/04/2019 10:48:00,1.19671842737463,23.372,0.02
26/04/2019 10:49:00,1.19658543463634,23.295,0.02
26/04/2019 10:50:00,1.19657334438741,23.288,0.02
26/04/2019 10:51:00,1.19659579770686,23.301,0.02
26/04/2019 10:52:00,1.19648007675277,23.234,0.02
26/04/2019 10:53:00,1.19642998857861,23.205,0.02
26/04/2019 10:54:00,1.19641962550809,23.199,0.02
26/04/2019 10:55:00,1.19636608297709,23.168,0.02
26/04/2019 10:56:00,1.19626417945035,23.109,0.02
26/04/2019 10:57:00,1.196303904554,23.132,0.02
26/04/2019 10:58:00,1.19623309023881,23.091,0.02
26/04/2019 10:59:00,1.19611736928471,23.024,0.02
26/04/2019 11:00:00,1.19614500413942,23.04,0.02
26/04/2019 11:01:00,1.19611391492787,23.022,0.02
26/04/2019 11:02:00,1.19595328733488,22.929,0.02
26/04/2019 11:03:00,1.19592737965859,22.914,0.02
26/04/2019 11:04:00,1.19589456326862,22.895,0.02
26/04/2019 11:05:00,1.1958030228124,22.842,0.02
26/04/2019 11:06:00,1.1957408443893,22.806,0.02
26/04/2019 11:07:00,1.19573048131879,22.8,0.02
26/04/2019 11:08:00,1.19570284646408,22.784,0.02
26/04/2019 11:09:00,1.19563548650573,22.745,0.02
26/04/2019 11:10:00,1.19559230704524,22.72,0.02
26/04/2019 11:11:00,1.19554221887108,22.691,0.02
26/04/2019 11:12:00,1.19547313173431,22.651,0.02
