dates,tension,temperature,deltaH
24/04/2019 17:07:41,1.23106955723578,23.56,0.001
24/04/2019 17:08:41,1.23087547247132,23.46,0.001
24/04/2019 17:09:41,1.23079783856554,23.42,0.001
24/04/2019 17:10:41,1.23080560195612,23.424,0.001
24/04/2019 17:11:41,1.23041355073192,23.222,0.001
24/04/2019 17:12:41,1.23082695128021,23.435,0.001
24/04/2019 17:13:41,1.23155088745163,23.808,0.001
24/04/2019 17:14:41,1.23224571090839,24.166,0.001
24/04/2019 17:15:41,1.23282796520176,24.466,0.001
24/04/2019 17:16:41,1.23327436016001,24.696,0.001
24/04/2019 17:17:41,1.23358101408785,24.854,0.001
24/04/2019 17:18:41,1.23380421156697,24.969,0.001
24/04/2019 17:19:41,1.2340274090461,25.084,0.001
24/04/2019 17:20:41,1.23423702059171,25.192,0.001
24/04/2019 17:21:41,1.23426225161109,25.205,0.001
24/04/2019 17:22:41,1.23418655855295,25.166,0.001
24/04/2019 17:23:41,1.23413997820948,25.142,0.001
24/04/2019 17:24:41,1.23408369362779,25.113,0.001
24/04/2019 17:25:41,1.23407787108486,25.11,0.001
24/04/2019 17:26:41,1.23407593023721,25.109,0.001
24/04/2019 17:27:41,1.23402158650317,25.081,0.001
24/04/2019 17:28:41,1.23396918361676,25.054,0.001
24/04/2019 17:29:41,1.23394783429267,25.043,0.001
24/04/2019 17:30:41,1.23392260327329,25.03,0.001
24/04/2019 17:31:41,1.23392454412094,25.031,0.001
24/04/2019 17:32:41,1.233918721578,25.028,0.001
24/04/2019 17:33:41,1.23385079191044,24.993,0.001
24/04/2019 17:34:41,1.23376345376644,24.948,0.001
24/04/2019 17:35:41,1.23375569037586,24.944,0.001
24/04/2019 17:36:41,1.23378674393817,24.96,0.001
24/04/2019 17:37:41,1.23369358325123,24.912,0.001
24/04/2019 17:38:41,1.2336702930795,24.9,0.001
24/04/2019 17:39:41,1.23364700290776,24.888,0.001
24/04/2019 17:40:41,1.23352084781087,24.823,0.001
24/04/2019 17:41:41,1.23350532102971,24.815,0.001
24/04/2019 17:42:41,1.23355190137318,24.839,0.001
24/04/2019 17:43:41,1.23346068153389,24.792,0.001
24/04/2019 17:44:41,1.23336752084695,24.744,0.001
24/04/2019 17:45:41,1.23336946169459,24.745,0.001
24/04/2019 17:46:41,1.23333452643699,24.727,0.001
24/04/2019 17:47:41,1.23320254879716,24.659,0.001
24/04/2019 17:48:41,1.23319090371129,24.653,0.001
24/04/2019 17:49:41,1.23325883337885,24.688,0.001
24/04/2019 17:50:41,1.23313655997724,24.625,0.001
24/04/2019 17:51:41,1.23305698522382,24.584,0.001
24/04/2019 17:52:41,1.23307057115733,24.591,0.001
24/04/2019 17:53:41,1.23295023860337,24.529,0.001
24/04/2019 17:54:41,1.23283961028762,24.472,0.001
24/04/2019 17:55:41,1.23283961028762,24.472,0.001
24/04/2019 17:56:41,1.23282020181118,24.462,0.001
24/04/2019 17:57:41,1.2327425679054,24.422,0.001
24/04/2019 17:58:41,1.23271345519073,24.407,0.001
24/04/2019 17:59:41,1.23263776213259,24.368,0.001
24/04/2019 18:00:41,1.23255624653152,24.326,0.001
24/04/2019 18:01:41,1.23252131127392,24.308,0.001
24/04/2019 18:02:41,1.23246502669222,24.279,0.001
24/04/2019 18:03:41,1.23236798430999,24.229,0.001
24/04/2019 18:04:41,1.23230199549008,24.195,0.001
24/04/2019 18:05:41,1.23230975888066,24.199,0.001
24/04/2019 18:06:41,1.2322418292131,24.164,0.001
24/04/2019 18:07:41,1.23217001785025,24.127,0.001
24/04/2019 18:08:41,1.23216419530732,24.124,0.001
24/04/2019 18:09:41,1.23211373326856,24.098,0.001
24/04/2019 18:10:41,1.23199922325753,24.039,0.001
24/04/2019 18:11:41,1.23197399223815,24.026,0.001
24/04/2019 18:12:41,1.23196234715228,24.02,0.001
24/04/2019 18:13:41,1.23187694985592,23.976,0.001
24/04/2019 18:14:41,1.23177796662605,23.925,0.001
24/04/2019 18:15:41,1.23176049899725,23.916,0.001
24/04/2019 18:16:41,1.23171974119671,23.895,0.001
24/04/2019 18:17:41,1.23163822559564,23.853,0.001
24/04/2019 18:18:41,1.23157611847101,23.821,0.001
24/04/2019 18:19:41,1.23154118321341,23.803,0.001
24/04/2019 18:20:41,1.23145966761234,23.761,0.001
24/04/2019 18:21:41,1.23138979709713,23.725,0.001
24/04/2019 18:22:41,1.23139561964007,23.728,0.001
24/04/2019 18:23:41,1.23132186742957,23.69,0.001
24/04/2019 18:24:41,1.23123258843792,23.644,0.001
24/04/2019 18:25:41,1.2312228841997,23.639,0.001
24/04/2019 18:26:41,1.23118600809445,23.62,0.001
24/04/2019 18:27:41,1.23107149808342,23.561,0.001
24/04/2019 18:28:41,1.23103074028289,23.54,0.001
24/04/2019 18:29:41,1.23098221909177,23.515,0.001
24/04/2019 18:30:41,1.23091040772893,23.478,0.001
24/04/2019 18:31:41,1.23090458518599,23.475,0.001
24/04/2019 18:32:41,1.23086188653781,23.453,0.001
24/04/2019 18:33:41,1.230757080765,23.399,0.001
24/04/2019 18:34:41,1.23070661872625,23.373,0.001
24/04/2019 18:35:41,1.23069497364038,23.367,0.001
24/04/2019 18:36:41,1.23061345803931,23.325,0.001
24/04/2019 18:37:41,1.23052029735237,23.277,0.001
24/04/2019 18:38:41,1.23046789446596,23.25,0.001
24/04/2019 18:39:41,1.23043101836072,23.231,0.001
24/04/2019 18:40:41,1.23036114784551,23.195,0.001
24/04/2019 18:41:41,1.23029904072089,23.163,0.001
24/04/2019 18:42:41,1.23025051952977,23.138,0.001
24/04/2019 18:43:41,1.23016512223341,23.094,0.001
24/04/2019 18:44:41,1.23010107426114,23.061,0.001
24/04/2019 18:45:41,1.23006419815589,23.042,0.001
24/04/2019 18:46:41,1.23003120374594,23.025,0.001
24/04/2019 18:47:41,1.22996521492602,22.991,0.001
24/04/2019 18:48:41,1.22991863458255,22.967,0.001
24/04/2019 18:49:41,1.22987205423908,22.943,0.001
24/04/2019 18:50:41,1.22975754422805,22.884,0.001
24/04/2019 18:51:41,1.22972066812281,22.865,0.001
24/04/2019 18:52:41,1.229703200494,22.856,0.001
24/04/2019 18:53:41,1.22959451302591,22.8,0.001
24/04/2019 18:54:41,1.22955375522537,22.779,0.001
24/04/2019 18:55:41,1.2295246425107,22.764,0.001
24/04/2019 18:56:41,1.22944700860492,22.724,0.001
24/04/2019 18:57:41,1.22938684232794,22.693,0.001
24/04/2019 18:58:41,1.22938101978501,22.69,0.001
24/04/2019 18:59:41,1.2292762140122,22.636,0.001
24/04/2019 19:00:41,1.2291849941729,22.589,0.001
