dates,tension,temperature,deltaH
NA,1.223,1.34893288656236,0
NA,1.23,1.34893288656236,-0.01
NA,1.238,1.34893288656236,-0.02
NA,1.249,1.34893288656236,-0.03
NA,1.261,1.34893288656236,-0.042
NA,1.271,1.34893288656236,-0.05
NA,1.279,1.34893288656236,-0.06
NA,1.287,1.34893288656236,-0.07
NA,1.296,1.34893288656236,-0.08
NA,1.309,1.34893288656236,-0.092
NA,1.322,1.34893288656236,-0.1
NA,1.333,1.34893288656236,-0.11
NA,1.342,1.34893288656236,-0.12
NA,1.35,1.34893288656236,-0.13
NA,1.363,1.34893288656236,-0.143
NA,1.372,1.34893288656236,-0.15
NA,1.382,1.34893288656236,-0.16
NA,1.394,1.34893288656236,-0.175
NA,1.412,1.34893288656236,-0.19
NA,1.423,1.34893288656236,-0.2
NA,1.442,1.34893288656236,-0.224
NA,1.457,1.34893288656236,-0.24
NA,1.47,1.34893288656236,-0.25
NA,1.477,1.34893288656236,-0.26
NA,1.491,1.34893288656236,-0.27
NA,1.502,1.34893288656236,-0.28
NA,1.51,1.34893288656236,-0.29
NA,1.519,1.34893288656236,-0.3
NA,1.535,1.34893288656236,-0.32
NA,1.546,1.34893288656236,-0.33
NA,1.556,1.34893288656236,-0.34
NA,1.566,1.34893288656236,-0.35
NA,1.587,1.34893288656236,-0.37
NA,1.609,1.34893288656236,-0.393
NA,1.62,1.34893288656236,-0.4
NA,1.637,1.34893288656236,-0.42
NA,1.659,1.34893288656236,-0.445
NA,1.665,1.34893288656236,-0.45
NA,1.683,1.34893288656236,-0.47
NA,1.694,1.34893288656236,-0.48
NA,1.715,1.34893288656236,-0.5
NA,1.727,1.34893288656236,-0.51
NA,1.736,1.34893288656236,-0.52
NA,1.753,1.34893288656236,-0.54
NA,1.766,1.34893288656236,-0.55
NA,1.777,1.34893288656236,-0.565
NA,1.791,1.34893288656236,-0.58
NA,1.813,1.34893288656236,-0.6
NA,1.829,1.34893288656236,-0.62
NA,1.84,1.34893288656236,-0.63
NA,1.853,1.34893288656236,-0.64
NA,1.862,1.34893288656236,-0.65
NA,1.881,1.34893288656236,-0.675
NA,1.898,1.34893288656236,-0.69
NA,1.909,1.34893288656236,-0.7
NA,1.899,1.34893288656236,-0.69
NA,1.891,1.34893288656236,-0.68
NA,1.883,1.34893288656236,-0.67
NA,1.873,1.34893288656236,-0.66
NA,1.858,1.34893288656236,-0.645
NA,1.847,1.34893288656236,-0.635
NA,1.837,1.34893288656236,-0.62
NA,1.828,1.34893288656236,-0.61
NA,1.816,1.34893288656236,-0.6
NA,1.803,1.34893288656236,-0.588
NA,1.796,1.34893288656236,-0.58
NA,1.783,1.34893288656236,-0.565
NA,1.772,1.34893288656236,-0.555
NA,1.762,1.34893288656236,-0.545
NA,1.75,1.34893288656236,-0.53
NA,1.739,1.34893288656236,-0.52
NA,1.73,1.34893288656236,-0.51
NA,1.715,1.34893288656236,-0.495
NA,1.701,1.34893288656236,-0.48
NA,1.69,1.34893288656236,-0.47
NA,1.678,1.34893288656236,-0.46
NA,1.669,1.34893288656236,-0.45
NA,1.655,1.34893288656236,-0.435
NA,1.642,1.34893288656236,-0.42
NA,1.622,1.34893288656236,-0.4
NA,1.602,1.34893288656236,-0.38
NA,1.583,1.34893288656236,-0.36
NA,1.572,1.34893288656236,-0.35
NA,1.555,1.34893288656236,-0.33
NA,1.534,1.34893288656236,-0.31
NA,1.523,1.34893288656236,-0.3
NA,1.502,1.34893288656236,-0.275
NA,1.486,1.34893288656236,-0.26
NA,1.474,1.34893288656236,-0.25
NA,1.455,1.34893288656236,-0.23
NA,1.44,1.34893288656236,-0.21
NA,1.426,1.34893288656236,-0.2
NA,1.411,1.34893288656236,-0.185
NA,1.396,1.34893288656236,-0.17
NA,1.376,1.34893288656236,-0.15
NA,1.356,1.34893288656236,-0.13
NA,1.335,1.34893288656236,-0.107
NA,1.325,1.34893288656236,-0.1
NA,1.307,1.34893288656236,-0.08
NA,1.286,1.34893288656236,-0.058
NA,1.277,1.34893288656236,-0.05
NA,1.257,1.34893288656236,-0.03
NA,1.24,1.34893288656236,-0.01
NA,1.228,1.34893288656236,0
