dates,tension,temperature,deltaH
07/03/2019 19:18:56,1.23050010772976,23.714,0.015
07/03/2019 19:19:56,1.23042010772976,23.701,0.015
07/03/2019 19:20:56,1.23046010772976,23.663,0.015
07/03/2019 19:21:56,1.23027010772976,23.627,0.015
07/03/2019 19:22:56,1.23031010772976,23.629,0.015
07/03/2019 19:23:56,1.23042010772976,23.593,0.015
07/03/2019 19:24:56,1.23023010772976,23.534,0.015
07/03/2019 19:25:56,1.23034010772976,23.527,0.015
07/03/2019 19:26:56,1.23042010772976,23.519,0.015
07/03/2019 19:27:56,1.23031010772976,23.447,0.015
07/03/2019 19:28:56,1.23031010772976,23.423,0.015
07/03/2019 19:29:56,1.23004010772976,23.432,0.015
07/03/2019 19:30:56,1.22992010772976,23.354,0.015
07/03/2019 19:31:56,1.23000010772976,23.33,0.015
07/03/2019 19:32:56,1.23000010772976,23.351,0.015
07/03/2019 19:33:56,1.23008010772976,23.307,0.015
07/03/2019 19:34:56,1.22989010772976,23.232,0.015
07/03/2019 19:35:56,1.23000010772976,23.24,0.015
07/03/2019 19:36:56,1.23000010772976,23.225,0.015
07/03/2019 19:37:56,1.22992010772976,23.148,0.015
07/03/2019 19:38:56,1.22962010772976,23.156,0.015
07/03/2019 19:39:56,1.22989010772976,23.163,0.015
07/03/2019 19:40:56,1.22962010772976,23.063,0.015
07/03/2019 19:41:56,1.22970010772976,23.03,0.015
07/03/2019 19:42:56,1.22954010772976,23.052,0.015
07/03/2019 19:43:56,1.22947010772976,22.992,0.015
07/03/2019 19:44:56,1.22954010772976,22.928,0.015
07/03/2019 19:45:56,1.22920010772976,22.941,0.015
07/03/2019 19:46:56,1.22962010772976,22.91,0.015
07/03/2019 19:47:56,1.22950010772976,22.85,0.015
07/03/2019 19:48:56,1.22943010772976,22.827,0.015
07/03/2019 19:49:56,1.22924010772976,22.826,0.015
07/03/2019 19:50:56,1.22928010772976,22.757,0.015
07/03/2019 19:51:56,1.22916010772976,22.744,0.015
07/03/2019 19:52:56,1.22931010772976,22.761,0.015
07/03/2019 19:53:56,1.22920010772976,22.681,0.015
07/03/2019 19:54:56,1.22897010772976,22.657,0.015
07/03/2019 19:55:56,1.22920010772976,22.657,0.015
07/03/2019 19:56:56,1.22882010772976,22.576,0.015
07/03/2019 19:57:56,1.22924010772976,22.529,0.015
07/03/2019 19:58:56,1.22901010772976,22.564,0.015
07/03/2019 19:59:56,1.22905010772976,22.592,0.015
07/03/2019 20:00:56,1.22893010772976,22.474,0.015
07/03/2019 20:01:56,1.22893010772976,22.464,0.015
07/03/2019 20:02:56,1.22863010772976,22.458,0.015
07/03/2019 20:03:56,1.22874010772976,22.378,0.015
07/03/2019 20:04:56,1.22874010772976,22.342,0.015
07/03/2019 20:05:56,1.22863010772976,22.363,0.015
07/03/2019 20:06:56,1.22870010772976,22.309,0.015
07/03/2019 20:07:56,1.22847010772976,22.242,0.015
07/03/2019 20:08:56,1.22840010772976,22.229,0.015
07/03/2019 20:09:56,1.22878010772976,22.19,0.015
07/03/2019 20:10:56,1.22832010772976,22.151,0.015
