#,dates,temperature,tension 
3,23/04/2019 17:27:00,22.392,1.20272
4,23/04/2019 17:28:00,22.239,1.2015
5,23/04/2019 17:29:00,22.256,1.2005
6,23/04/2019 17:30:00,22.304,1.2015
7,23/04/2019 17:31:00,22.212,1.20153
8,23/04/2019 17:32:00,22.173,1.20085
9,23/04/2019 17:33:00,22.45,1.20142
10,23/04/2019 17:34:00,24.407,1.20111
11,23/04/2019 17:35:00,27.216,1.20272
12,23/04/2019 17:36:00,29.081,1.2039
13,23/04/2019 17:37:00,29.529,1.20531
14,23/04/2019 17:38:00,29.279,1.20523
15,23/04/2019 17:39:00,28.687,1.20562
16,23/04/2019 17:40:00,28.009,1.20577
17,23/04/2019 17:41:00,27.405,1.20535
18,23/04/2019 17:42:00,26.789,1.20592
19,23/04/2019 17:43:00,26.329,1.20611
20,23/04/2019 17:44:00,25.98,1.20573
21,23/04/2019 17:45:00,25.665,1.20588
22,23/04/2019 17:46:00,25.431,1.20581
23,23/04/2019 17:47:00,25.281,1.20603
24,23/04/2019 17:48:00,25.143,1.20615
25,23/04/2019 17:49:00,25.03,1.20592
26,23/04/2019 17:50:00,24.987,1.20577
27,23/04/2019 17:51:00,24.937,1.20565
28,23/04/2019 17:52:00,24.892,1.20577
29,23/04/2019 17:53:00,24.877,1.206
30,23/04/2019 17:54:00,24.882,1.20573
31,23/04/2019 17:55:00,24.865,1.20581
32,23/04/2019 17:56:00,24.835,1.20577
33,23/04/2019 17:57:00,24.809,1.20569
34,23/04/2019 17:58:00,24.809,1.20558
35,23/04/2019 17:59:00,24.789,1.20581
36,23/04/2019 18:00:00,24.77,1.20542
37,23/04/2019 18:01:00,24.762,1.20577
38,23/04/2019 18:02:00,24.723,1.2055
39,23/04/2019 18:03:00,24.703,1.20581
40,23/04/2019 18:04:00,24.69,1.20508
41,23/04/2019 18:05:00,24.659,1.20542
42,23/04/2019 18:06:00,24.637,1.20542
43,23/04/2019 18:07:00,24.617,1.2052
44,23/04/2019 18:08:00,24.582,1.20489
45,23/04/2019 18:09:00,24.551,1.20508
46,23/04/2019 18:10:00,24.542,1.20512
47,23/04/2019 18:11:00,24.535,1.2052
48,23/04/2019 18:12:00,24.477,1.20481
49,23/04/2019 18:13:00,24.465,1.20459
50,23/04/2019 18:14:00,24.457,1.20466
51,23/04/2019 18:15:00,24.403,1.20466
52,23/04/2019 18:16:00,24.357,1.20466
53,23/04/2019 18:17:00,24.344,1.20436
54,23/04/2019 18:18:00,24.333,1.20447
55,23/04/2019 18:19:00,24.279,1.20466
56,23/04/2019 18:20:00,24.246,1.20485
57,23/04/2019 18:21:00,24.243,1.2042
58,23/04/2019 18:22:00,24.195,1.20371
59,23/04/2019 18:23:00,24.16,1.20401
60,23/04/2019 18:24:00,24.172,1.20436
61,23/04/2019 18:25:00,24.125,1.20397
62,23/04/2019 18:26:00,24.082,1.20375
63,23/04/2019 18:27:00,24.061,1.2042
64,23/04/2019 18:28:00,24.035,1.2042
65,23/04/2019 18:29:00,23.994,1.20363
66,23/04/2019 18:30:00,23.972,1.20378
67,23/04/2019 18:31:00,23.954,1.20375
68,23/04/2019 18:32:00,23.904,1.20359
69,23/04/2019 18:33:00,23.892,1.20336
70,23/04/2019 18:34:00,23.881,1.20375
71,23/04/2019 18:35:00,23.832,1.20371
72,23/04/2019 18:36:00,23.817,1.20325
73,23/04/2019 18:37:00,23.796,1.2031
74,23/04/2019 18:38:00,23.744,1.2034
75,23/04/2019 18:39:00,23.687,1.2034
76,23/04/2019 18:40:00,23.677,1.2034
77,23/04/2019 18:41:00,23.66,1.20298
78,23/04/2019 18:42:00,23.609,1.20306
79,23/04/2019 18:43:00,23.582,1.20294
80,23/04/2019 18:44:00,23.558,1.2031
81,23/04/2019 18:45:00,23.51,1.20302
82,23/04/2019 18:46:00,23.484,1.20264
83,23/04/2019 18:47:00,23.474,1.20233
84,23/04/2019 18:48:00,23.427,1.20256
85,23/04/2019 18:49:00,23.403,1.20268
86,23/04/2019 18:50:00,23.378,1.20241
87,23/04/2019 18:51:00,23.364,1.20226
88,23/04/2019 18:52:00,23.327,1.20272
89,23/04/2019 18:53:00,23.312,1.20245
90,23/04/2019 18:54:00,23.27,1.20169
91,23/04/2019 18:55:00,23.231,1.20207
92,23/04/2019 18:56:00,23.204,1.20241
93,23/04/2019 18:57:00,23.181,1.20161
94,23/04/2019 18:58:00,23.142,1.20195
95,23/04/2019 18:59:00,23.094,1.20214
96,23/04/2019 19:00:00,23.081,1.2018
97,23/04/2019 19:01:00,23.073,1.20161
98,23/04/2019 19:02:00,23.028,1.20119
99,23/04/2019 19:03:00,23.012,1.20184
100,23/04/2019 19:04:00,22.976,1.20123
101,23/04/2019 19:05:00,22.929,1.20142
102,23/04/2019 19:06:00,22.913,1.20062
103,23/04/2019 19:07:00,22.889,1.20161
104,23/04/2019 19:08:00,22.847,1.20092
105,23/04/2019 19:09:00,22.832,1.20108
106,23/04/2019 19:10:00,22.836,1.20123
107,23/04/2019 19:11:00,22.8,1.20138
108,23/04/2019 19:12:00,22.752,1.20089
109,23/04/2019 19:13:00,22.732,1.20058
110,23/04/2019 19:14:00,22.696,1.20066
111,23/04/2019 19:15:00,22.652,1.20077
112,23/04/2019 19:16:00,22.627,1.20058
113,23/04/2019 19:17:00,22.592,1.20031
114,23/04/2019 19:18:00,22.562,1.2005
115,23/04/2019 19:19:00,22.535,1.20039
116,23/04/2019 19:20:00,22.505,1.20035
117,23/04/2019 19:21:00,22.504,1.20016
118,23/04/2019 19:22:00,22.456,1.20016
119,23/04/2019 19:23:00,22.402,1.19978
120,23/04/2019 19:24:00,22.372,1.19997
121,23/04/2019 19:25:00,22.344,1.19997
122,23/04/2019 19:26:00,22.317,1.19993
