dates,tension,deltaH
NA,1.22405,0.4
NA,1.21062,0.5
NA,1.18987,1.5
NA,1.17155,2.7
NA,1.15873,3.5
NA,1.14103,4.5
NA,1.12332,5.5
NA,1.1017,6.7
NA,1.08486,7.8
NA,1.06166,9.1
NA,1.02503,11.1
NA,0.99634,13
NA,0.9768,14.1
NA,0.95055,15.5
NA,0.90293,18.4
NA,0.84615,21.5
NA,0.79304,24.7
NA,0.7094,29.5
NA,1.19536,15
NA,1.221,0
NA,1.2381,-1.1
NA,1.25763,-2
NA,1.27228,-3
NA,1.29121,-4
NA,1.31136,-5.2
NA,1.32784,-6.2
NA,1.34249,-7
NA,1.35775,-8
NA,1.38217,-9.5
NA,1.40842,-11.1
NA,1.43407,-12.5
NA,1.47436,-15
NA,1.50549,-16.1
NA,1.5293,-18.1
NA,1.56166,-2
NA,1.61294,-23
NA,1.69841,-28
NA,1.8022,-34
NA,1.86874,-38
NA,1.95482,-43
NA,2.03846,-48
NA,2.20757,-58
NA,2.3779,-68
