"Plot Title: p45p"
"#","Date Time, GMT+02:00","Volt, V (LGR S/N: 10117155, SEN S/N: 10117155, LBL: Pression)","Temp, °C (LGR S/N: 10117155, SEN S/N: 10117155, LBL: Température)","Host Connected (LGR S/N: 10117155)","Stopped (LGR S/N: 10117155)","End Of File (LGR S/N: 10117155)"
1,30/04/19 09:09:40,1.25519,16.487,,,
2,30/04/19 09:09:41,1.25641,16.487,,,
3,30/04/19 09:09:42,1.25519,16.511,,,
4,30/04/19 09:09:43,1.25702,16.463,,,
5,30/04/19 09:09:44,1.25641,16.511,,,
6,30/04/19 09:09:45,1.25580,16.487,,,
7,30/04/19 09:09:46,1.25519,16.463,,,
8,30/04/19 09:09:47,1.25641,16.487,,,
9,30/04/19 09:09:48,1.25580,16.487,,,
10,30/04/19 09:09:49,1.25458,16.463,,,
11,30/04/19 09:09:50,1.25702,16.463,,,
12,30/04/19 09:09:51,1.25580,16.487,,,
13,30/04/19 09:09:52,1.25641,16.463,,,
14,30/04/19 09:09:53,1.25519,16.534,,,
15,30/04/19 09:09:54,1.25580,16.487,,,
16,30/04/19 09:09:55,1.25458,16.511,,,
17,30/04/19 09:09:56,1.25641,16.487,,,
18,30/04/19 09:09:57,1.25397,16.463,,,
19,30/04/19 09:09:58,1.25702,16.487,,,
20,30/04/19 09:09:59,1.25580,16.487,,,
21,30/04/19 09:10:00,1.25519,16.463,,,
22,30/04/19 09:10:01,1.25519,16.511,,,
23,30/04/19 09:10:02,1.25702,16.487,,,
24,30/04/19 09:10:03,1.25580,16.463,,,
25,30/04/19 09:10:04,1.25641,16.511,,,
26,30/04/19 09:10:05,1.25641,16.487,,,
27,30/04/19 09:10:06,1.25580,16.487,,,
28,30/04/19 09:10:07,1.25580,16.511,,,
29,30/04/19 09:10:08,1.25580,16.511,,,
30,30/04/19 09:10:09,1.25580,16.487,,,
31,30/04/19 09:10:10,1.25641,16.487,,,
32,30/04/19 09:10:11,1.25580,16.487,,,
33,30/04/19 09:10:12,1.25580,16.511,,,
34,30/04/19 09:10:13,1.25519,16.487,,,
35,30/04/19 09:10:14,1.25580,16.487,,,
36,30/04/19 09:10:15,1.25641,16.487,,,
37,30/04/19 09:10:16,1.25397,16.511,,,
38,30/04/19 09:10:17,1.25580,16.511,,,
39,30/04/19 09:10:18,1.25580,16.511,,,
40,30/04/19 09:10:19,1.25580,16.463,,,
41,30/04/19 09:10:20,1.25580,16.511,,,
42,30/04/19 09:10:21,1.25763,16.463,,,
43,30/04/19 09:10:22,1.25458,16.487,,,
44,30/04/19 09:10:23,1.25519,16.534,,,
45,30/04/19 09:10:24,1.25458,16.534,,,
46,30/04/19 09:10:25,1.25336,16.534,,,
47,30/04/19 09:10:26,1.25214,16.534,,,
48,30/04/19 09:10:27,1.25275,16.511,,,
49,30/04/19 09:10:28,1.25336,16.511,,,
50,30/04/19 09:10:29,1.25336,16.511,,,
51,30/04/19 09:10:30,1.22894,16.511,,,
52,30/04/19 09:10:31,1.22283,16.534,,,
53,30/04/19 09:10:32,1.22527,16.534,,,
54,30/04/19 09:10:33,1.22405,16.558,,,
55,30/04/19 09:10:34,1.22527,16.511,,,
56,30/04/19 09:10:35,1.22405,16.534,,,
57,30/04/19 09:10:36,1.22405,16.534,,,
58,30/04/19 09:10:37,1.22405,16.511,,,
59,30/04/19 09:10:38,1.22466,16.511,,,
60,30/04/19 09:10:39,1.22405,16.534,,,
61,30/04/19 09:10:40,1.22344,16.534,,,
62,30/04/19 09:10:41,1.22466,16.534,,,
63,30/04/19 09:10:42,1.22405,16.534,,,
64,30/04/19 09:10:43,1.22344,16.534,,,
65,30/04/19 09:10:44,1.22466,16.511,,,
66,30/04/19 09:10:45,1.22466,16.511,,,
67,30/04/19 09:10:46,1.22527,16.487,,,
68,30/04/19 09:10:47,1.22466,16.534,,,
69,30/04/19 09:10:48,1.22405,16.558,,,
70,30/04/19 09:10:49,1.22466,16.511,,,
71,30/04/19 09:10:50,1.22466,16.511,,,
72,30/04/19 09:10:51,1.22405,16.534,,,
73,30/04/19 09:10:52,1.22344,16.534,,,
74,30/04/19 09:10:53,1.22527,16.511,,,
75,30/04/19 09:10:54,1.22466,16.511,,,
76,30/04/19 09:10:55,1.22405,16.487,,,
77,30/04/19 09:10:56,1.22283,16.511,,,
78,30/04/19 09:10:57,1.22405,16.534,,,
79,30/04/19 09:10:58,1.22466,16.511,,,
80,30/04/19 09:10:59,1.22405,16.511,,,
81,30/04/19 09:11:00,1.22405,16.487,,,
82,30/04/19 09:11:01,1.22466,16.487,,,
83,30/04/19 09:11:02,1.22344,16.511,,,
84,30/04/19 09:11:03,1.22527,16.511,,,
85,30/04/19 09:11:04,1.22466,16.511,,,
86,30/04/19 09:11:05,1.22589,16.487,,,
87,30/04/19 09:11:06,1.22589,16.487,,,
88,30/04/19 09:11:07,1.22466,16.487,,,
89,30/04/19 09:11:08,1.22527,16.487,,,
90,30/04/19 09:11:09,1.22344,16.511,,,
91,30/04/19 09:11:10,1.22527,16.463,,,
92,30/04/19 09:11:11,1.22527,16.463,,,
93,30/04/19 09:11:12,1.22527,16.487,,,
94,30/04/19 09:11:13,1.22466,16.487,,,
95,30/04/19 09:11:14,1.22527,16.487,,,
96,30/04/19 09:11:15,1.22466,16.487,,,
97,30/04/19 09:11:16,1.22466,16.463,,,
98,30/04/19 09:11:17,1.22344,16.511,,,
99,30/04/19 09:11:18,1.22466,16.487,,,
100,30/04/19 09:11:19,1.22466,16.463,,,
101,30/04/19 09:11:20,1.22466,16.463,,,
102,30/04/19 09:11:21,1.22405,16.487,,,
103,30/04/19 09:11:22,1.22466,16.487,,,
104,30/04/19 09:11:23,1.20024,16.487,,,
105,30/04/19 09:11:24,1.21795,16.487,,,
106,30/04/19 09:11:25,1.21429,16.511,,,
107,30/04/19 09:11:26,1.21123,16.511,,,
108,30/04/19 09:11:27,1.21062,16.463,,,
109,30/04/19 09:11:28,1.21123,16.463,,,
110,30/04/19 09:11:29,1.20940,16.511,,,
111,30/04/19 09:11:30,1.21062,16.487,,,
112,30/04/19 09:11:31,1.21062,16.534,,,
113,30/04/19 09:11:32,1.21123,16.487,,,
114,30/04/19 09:11:33,1.21062,16.511,,,
115,30/04/19 09:11:34,1.21001,16.487,,,
116,30/04/19 09:11:35,1.21062,16.511,,,
117,30/04/19 09:11:36,1.21184,16.511,,,
118,30/04/19 09:11:37,1.21123,16.463,,,
119,30/04/19 09:11:38,1.21001,16.487,,,
120,30/04/19 09:11:39,1.20940,16.511,,,
121,30/04/19 09:11:40,1.21001,16.511,,,
122,30/04/19 09:11:41,1.21062,16.511,,,
123,30/04/19 09:11:42,1.21184,16.463,,,
124,30/04/19 09:11:43,1.21123,16.463,,,
125,30/04/19 09:11:44,1.21123,16.487,,,
126,30/04/19 09:11:45,1.21123,16.487,,,
127,30/04/19 09:11:46,1.21062,16.487,,,
128,30/04/19 09:11:47,1.21062,16.463,,,
129,30/04/19 09:11:48,1.21062,16.487,,,
130,30/04/19 09:11:49,1.21062,16.487,,,
131,30/04/19 09:11:50,1.21184,16.463,,,
132,30/04/19 09:11:51,1.20818,16.463,,,
133,30/04/19 09:11:52,1.20940,16.511,,,
134,30/04/19 09:11:53,1.21062,16.511,,,
135,30/04/19 09:11:54,1.21062,16.487,,,
136,30/04/19 09:11:55,1.21123,16.463,,,
137,30/04/19 09:11:56,1.20940,16.511,,,
138,30/04/19 09:11:57,1.21001,16.463,,,
