"Titre de tracé : Hobo3"
"#";"Date Heure, GMT+01:00";"Temp., °C (LGR S/N: 10614064, SEN S/N: 10614064, LBL: t)";"Tension, V (LGR S/N: 10614064, SEN S/N: 10614064, LBL: tesio)";"Hôte connecté (LGR S/N: 10614064)";"Arrêté (LGR S/N: 10614064)";"Fin de fichier (LGR S/N: 10614064)"
1;28/02/19 15:48:28;59.759;0.55459;;;
2;28/02/19 15:48:29;59.517;0.55783;;;
3;28/02/19 15:48:30;59.291;0.56023;;;
4;28/02/19 15:48:31;59.068;0.56268;;;
5;28/02/19 15:48:32;58.847;0.56504;;;
6;28/02/19 15:48:33;58.631;0.56744;;;
7;28/02/19 15:48:34;58.418;0.56981;;;
8;28/02/19 15:48:35;58.207;0.57214;;;
9;28/02/19 15:48:36;57.999;0.57446;;;
10;28/02/19 15:48:37;57.799;0.57668;;;
11;28/02/19 15:48:38;57.596;0.57897;;;
12;28/02/19 15:48:39;57.388;0.58129;;;
13;28/02/19 15:48:40;57.204;0.58335;;;
14;28/02/19 15:48:41;57.011;0.58553;;;
15;28/02/19 15:48:42;56.821;0.58770;;;
16;28/02/19 15:48:43;56.634;0.58980;;;
17;28/02/19 15:48:44;56.449;0.59190;;;
18;28/02/19 15:48:45;56.266;0.59400;;;
19;28/02/19 15:48:46;56.087;0.59602;;;
20;28/02/19 15:48:47;55.911;0.59796;;;
21;28/02/19 15:48:48;55.733;0.59995;;;
22;28/02/19 15:48:49;55.561;0.60189;;;
23;28/02/19 15:48:50;55.392;0.60380;;;
24;28/02/19 15:48:51;55.223;0.60571;;;
25;28/02/19 15:48:52;55.058;0.60754;;;
26;28/02/19 15:48:53;54.895;0.60933;;;
27;28/02/19 15:48:54;54.733;0.61109;;;
28;28/02/19 15:48:55;54.574;0.61280;;;
29;28/02/19 15:48:56;54.418;0.61452;;;
30;28/02/19 15:48:57;54.263;0.61620;;;
31;28/02/19 15:48:58;54.110;0.61784;;;
32;28/02/19 15:48:59;53.961;0.61940;;;
33;28/02/19 15:49:00;53.814;0.62097;;;
