"Titre de tracé : p23t"
"#","Date Heure, GMT+01:00","Tension, V (LGR S/N: 10117161, SEN S/N: 10117161, LBL: Pression)","Temp., °C (LGR S/N: 10117161, SEN S/N: 10117161, LBL: Température)","Arrêté (LGR S/N: 10117161)","Fin de fichier (LGR S/N: 10117161)"
1,01/25/17 03:31:58 PM,0.01160,17.867,,
2,01/25/17 03:31:59 PM,0.01160,17.867,,
3,01/25/17 03:32:00 PM,0.01160,17.867,,
4,01/25/17 03:32:01 PM,0.01099,17.867,,
5,01/25/17 03:32:02 PM,0.01160,17.867,,
6,01/25/17 03:32:03 PM,0.01160,17.867,,
7,01/25/17 03:32:04 PM,0.01160,17.867,,
8,01/25/17 03:32:05 PM,0.01160,17.867,,
9,01/25/17 03:32:06 PM,0.01160,17.867,,
10,01/25/17 03:32:07 PM,0.01160,17.867,,
11,01/25/17 03:32:08 PM,0.01160,17.843,,
12,01/25/17 03:32:09 PM,0.01099,17.867,,
13,01/25/17 03:32:10 PM,0.01160,17.867,,
14,01/25/17 03:32:11 PM,0.01221,17.843,,
15,01/25/17 03:32:12 PM,0.01160,17.843,,
16,01/25/17 03:32:13 PM,0.01282,17.843,,
17,01/25/17 03:32:14 PM,0.01343,17.843,,
18,01/25/17 03:32:15 PM,0.01160,17.843,,
19,01/25/17 03:32:16 PM,0.01160,17.843,,
20,01/25/17 03:32:17 PM,0.01160,17.843,,
21,01/25/17 03:32:18 PM,0.01160,17.843,,
22,01/25/17 03:32:19 PM,0.01160,17.819,,
23,01/25/17 03:32:20 PM,0.01160,17.819,,
24,01/25/17 03:32:21 PM,0.01160,17.819,,
25,01/25/17 03:32:22 PM,0.01160,17.819,,
26,01/25/17 03:32:23 PM,0.01160,17.819,,
27,01/25/17 03:32:24 PM,0.01221,17.819,,
28,01/25/17 03:32:25 PM,0.01160,17.819,,
29,01/25/17 03:32:26 PM,0.01160,17.819,,
30,01/25/17 03:32:27 PM,0.01160,17.819,,
31,01/25/17 03:32:28 PM,0.01160,17.819,,
32,01/25/17 03:32:29 PM,0.01221,17.819,,
33,01/25/17 03:32:30 PM,0.01221,17.819,,
34,01/25/17 03:32:31 PM,0.01221,17.819,,
35,01/25/17 03:32:32 PM,0.01221,17.819,,
36,01/25/17 03:32:33 PM,1.21734,17.819,,
37,01/25/17 03:32:34 PM,1.21612,17.819,,
38,01/25/17 03:32:35 PM,1.21673,17.819,,
39,01/25/17 03:32:36 PM,1.21551,17.843,,
40,01/25/17 03:32:37 PM,1.21551,17.843,,
41,01/25/17 03:32:38 PM,1.21490,17.843,,
42,01/25/17 03:32:39 PM,1.21917,17.843,,
43,01/25/17 03:32:40 PM,1.21551,17.843,,
44,01/25/17 03:32:41 PM,1.21368,17.867,,
45,01/25/17 03:32:42 PM,1.21184,17.843,,
46,01/25/17 03:32:43 PM,1.21429,17.843,,
47,01/25/17 03:32:44 PM,1.21306,17.843,,
48,01/25/17 03:32:45 PM,1.21368,17.843,,
49,01/25/17 03:32:46 PM,1.21490,17.843,,
50,01/25/17 03:32:47 PM,1.21368,17.843,,
51,01/25/17 03:32:48 PM,1.21184,17.843,,
52,01/25/17 03:32:49 PM,1.21245,17.843,,
53,01/25/17 03:32:50 PM,1.21184,17.843,,
54,01/25/17 03:32:51 PM,1.21368,17.843,,
55,01/25/17 03:32:52 PM,1.21429,17.843,,
56,01/25/17 03:32:53 PM,1.21245,17.843,,
57,01/25/17 03:32:54 PM,1.20574,17.843,,
58,01/25/17 03:32:55 PM,1.21368,17.843,,
59,01/25/17 03:32:56 PM,1.21306,17.843,,
60,01/25/17 03:32:57 PM,1.20024,17.843,,
61,01/25/17 03:32:58 PM,1.21184,17.843,,
62,01/25/17 03:32:59 PM,1.21368,17.843,,
63,01/25/17 03:33:00 PM,1.40842,17.843,,
64,01/25/17 03:33:01 PM,1.51404,17.843,,
65,01/25/17 03:33:02 PM,1.55311,17.843,,
66,01/25/17 03:33:03 PM,1.55800,17.843,,
67,01/25/17 03:33:04 PM,1.55067,17.867,,
68,01/25/17 03:33:05 PM,1.53846,17.843,,
69,01/25/17 03:33:06 PM,1.63980,17.843,,
70,01/25/17 03:33:07 PM,1.54274,17.867,,
71,01/25/17 03:33:08 PM,1.56105,17.867,,
72,01/25/17 03:33:09 PM,1.55739,17.867,,
73,01/25/17 03:33:10 PM,1.55861,17.867,,
74,01/25/17 03:33:11 PM,1.56044,17.867,,
75,01/25/17 03:33:12 PM,1.57631,17.867,,
76,01/25/17 03:33:13 PM,1.55983,17.867,,
77,01/25/17 03:33:14 PM,1.55800,17.867,,
78,01/25/17 03:33:15 PM,1.56044,17.867,,
79,01/25/17 03:33:16 PM,1.55800,17.867,,
80,01/25/17 03:33:17 PM,1.55433,17.867,,
81,01/25/17 03:33:18 PM,1.55495,17.891,,
82,01/25/17 03:33:19 PM,1.55433,17.867,,
83,01/25/17 03:33:20 PM,1.55372,17.891,,
84,01/25/17 03:33:21 PM,1.55372,17.891,,
85,01/25/17 03:33:22 PM,1.55006,17.891,,
86,01/25/17 03:33:23 PM,1.55311,17.891,,
87,01/25/17 03:33:24 PM,1.55189,17.891,,
88,01/25/17 03:33:25 PM,1.55433,17.891,,
