dates,tension,temperature,deltaH
NA,1.223,1.348932887,0
NA,1.23,1.348932887,-1
NA,1.238,1.348932887,-2
NA,1.249,1.348932887,-3
NA,1.261,1.348932887,-4.2
NA,1.271,1.348932887,-5
NA,1.279,1.348932887,-6
NA,1.287,1.348932887,-7
NA,1.296,1.348932887,-8
NA,1.309,1.348932887,-9.2
NA,1.322,1.348932887,-10
NA,1.333,1.348932887,-11
NA,1.342,1.348932887,-12
NA,1.35,1.348932887,-13
NA,1.363,1.348932887,-14.3
NA,1.372,1.348932887,-15
NA,1.382,1.348932887,-16
NA,1.394,1.348932887,-17.5
NA,1.412,1.348932887,-19
NA,1.423,1.348932887,-20
NA,1.442,1.348932887,-22.4
NA,1.457,1.348932887,-24
NA,1.47,1.348932887,-25
NA,1.477,1.348932887,-26
NA,1.491,1.348932887,-27
NA,1.502,1.348932887,-28
NA,1.51,1.348932887,-29
NA,1.519,1.348932887,-30
NA,1.535,1.348932887,-32
NA,1.546,1.348932887,-33
NA,1.556,1.348932887,-34
NA,1.566,1.348932887,-35
NA,1.587,1.348932887,-37
NA,1.609,1.348932887,-39.3
NA,1.62,1.348932887,-40
NA,1.637,1.348932887,-42
NA,1.659,1.348932887,-44.5
NA,1.665,1.348932887,-45
NA,1.683,1.348932887,-47
NA,1.694,1.348932887,-48
NA,1.715,1.348932887,-50
NA,1.727,1.348932887,-51
NA,1.736,1.348932887,-52
NA,1.753,1.348932887,-54
NA,1.766,1.348932887,-55
NA,1.777,1.348932887,-56.5
NA,1.791,1.348932887,-58
NA,1.813,1.348932887,-60
NA,1.829,1.348932887,-62
NA,1.84,1.348932887,-63
NA,1.853,1.348932887,-64
NA,1.862,1.348932887,-65
NA,1.881,1.348932887,-67.5
NA,1.898,1.348932887,-69
NA,1.909,1.348932887,-70
NA,1.899,1.348932887,-69
NA,1.891,1.348932887,-68
NA,1.883,1.348932887,-67
NA,1.873,1.348932887,-66
NA,1.858,1.348932887,-64.5
NA,1.847,1.348932887,-63.5
NA,1.837,1.348932887,-62
NA,1.828,1.348932887,-61
NA,1.816,1.348932887,-60
NA,1.803,1.348932887,-58.8
NA,1.796,1.348932887,-58
NA,1.783,1.348932887,-56.5
NA,1.772,1.348932887,-55.5
NA,1.762,1.348932887,-54.5
NA,1.75,1.348932887,-53
NA,1.739,1.348932887,-52
NA,1.73,1.348932887,-51
NA,1.715,1.348932887,-49.5
NA,1.701,1.348932887,-48
NA,1.69,1.348932887,-47
NA,1.678,1.348932887,-46
NA,1.669,1.348932887,-45
NA,1.655,1.348932887,-43.5
NA,1.642,1.348932887,-42
NA,1.622,1.348932887,-40
NA,1.602,1.348932887,-38
NA,1.583,1.348932887,-36
NA,1.572,1.348932887,-35
NA,1.555,1.348932887,-33
NA,1.534,1.348932887,-31
NA,1.523,1.348932887,-30
NA,1.502,1.348932887,-27.5
NA,1.486,1.348932887,-26
NA,1.474,1.348932887,-25
NA,1.455,1.348932887,-23
NA,1.44,1.348932887,-21
NA,1.426,1.348932887,-20
NA,1.411,1.348932887,-18.5
NA,1.396,1.348932887,-17
NA,1.376,1.348932887,-15
NA,1.356,1.348932887,-13
NA,1.335,1.348932887,-10.7
NA,1.325,1.348932887,-10
NA,1.307,1.348932887,-8
NA,1.286,1.348932887,-5.8
NA,1.277,1.348932887,-5
NA,1.257,1.348932887,-3
NA,1.24,1.348932887,-1
NA,1.228,1.348932887,0
